topic,geovariablemetadataid,name,sourcevariable,label,responselabel,datasetid,year,agegroup,description
Socio-Demographics,3068,LATINOTC,-,Ethnicity,Hispanic or Latino (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who identify their origin as Hispanic, Latino, or Spanish, may be of any race. For more information, visit: http://bit.ly/B01001I"
Socio-Demographics,3069,LTHIGHSCHA,-,Education,Less than high school (18+),11,2008-2012,18+,"Adults ages 18+ who did not graduate high school or receive a GED. For more information, visit: http://bit.ly/B15001"
Socio-Demographics,3070,MOVEFRABRA,-,Mobility,Moved from abroad (18+),11,2008-2012,18+,"Adult ages 18+ who moved to the United States from a foreign country, including Puerto Rico, American Samoa, Guam, Northern Marianas, or the U.S.Virgin Islands. For more information, visit: http://bit.ly/B07001"
Socio-Demographics,3071,MOVEWUSA,-,Mobility,Moved within U.S. (18+),11,2008-2012,18+,"Adults ages 18+ who moved within the United States in the past year. For more information, visit: http://bit.ly/B07001"
Socio-Demographics,3072,NATRLCITZA,-,Nativity / Citizenship,Naturalized U.S. citizen (18+),11,2008-2012,18+,"Adults ages 18+ who were not U.S. citizens at birth but became U.S. citizens by naturalization. For more information, visit: http://bit.ly/0B05003"
Socio-Demographics,3073,NATRLCITZTC,-,Nativity / Citizenship,Naturalized U.S. citizen (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who were not U.S. citizens at birth but became U.S. citizens by naturalization. For more information, visit: http://bit.ly/0B05003"
Socio-Demographics,3074,NHWHITEA,-,Ethnicity,Non-Hispanic White only (18+),11,2008-2012,18+,"Adults ages 18+ who are White alone, not Hispanic or Latino.. For more information, visit: http://bit.ly/B01001H"
Socio-Demographics,3075,NHWHITETC,-,Ethnicity,Non-Hispanic White only (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who are White alone, not Hispanic or Latino. For more information, visit: http://bit.ly/B01001H"
Socio-Demographics,3076,NONCITZA,-,Nativity / Citizenship,Non-citizen (18+),11,2008-2012,18+,"Adults ages 18+ who are not U.S. citizens. For more information, visit: http://bit.ly/0B05003"
Socio-Demographics,3077,NONCITZTC,-,Nativity / Citizenship,Non-citizen (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who are not U.S. citizens. For more information, visit: http://bit.ly/0B05003"
Socio-Demographics,3078,NOTWORKA,-,Work Status,Not working (18+),11,2008-2012,18+,"Adult ages 18+ who were either unemployed or were not classified as members of the labor force (including students, homemakers, retired workers, institutionalized people). For more information, visit: http://bit.ly/B23001"
Health Topic,3079,OBESEA,RBMI,Obese/Overweight,Obese (BMI &ge; 30) (18+),11,2011-2012,18+,Adult respondents ages 18+ who had a body mass index (BMI) of 30.0 or above. BMI was calculated using respondent's self-reported weight and height.
Socio-Demographics,3080,OTHERMIXA,-,Race,Other only/Mixed (18+),11,2008-2012,18+,"Adults ages 18+ who are American Indian and Alaska Native alone, Native Hawaiian and other Pacific Islander alone, some other race alone, or two or more races."
Socio-Demographics,3081,OTHERMIXTC,-,Race,Other only/Mixed (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who are American Indian and Alaska Native alone, Native Hawaiian and other Pacific Islander alone, some other race alone, or two or more races."
Health Topic,3082,OVRWTAGEC,OVRWTAGE,Obese/Overweight,Overweight for age  (weight &ge; 95th percentile) (2-11),11,2011-2012,11-Feb,"This variable assigns overweight for age to children, and is constructed using sex, age (in months) and weight (does NOT factor in height). For more information, see http://bit.ly/wtageinf and http://bit.ly/wtage."
Health Topic,3083,OVRWTOBESET,RBMI,Obese/Overweight,Overweight or obese (BMI &ge; 85th percentile) (12-17),11,2011-2012,17-Dec,Teen respondents ages 12-17 who ranked higher than the 85th percentile in the CDC 2010 recommendations on assigning body mass index (BMI).
Health Topic,3084,PAKIDSTC,"CC35; TE8, TE49",Physical activity,Regular physical activity (5-17),11,2011-2012,17-May,"Children and teens ages 5-17 who engaged in at least 60 minutes of physical activity daily in the past week, excluding physical education."
Socio-Demographics,3085,POVERTYA,-,Poverty,Living In poverty (&lt;100%FPL) (18+),11,2008-2012,18+,Adults ages 18+ living in poverty (&lt;100% Federal Poverty Level)  in the past 12 months. The Census Bureau uses a set of dollar value thresholds that vary by family size and composition to determine who is in poverty. For more information on Poverty thr
Socio-Demographics,3086,POVERTYTC,-,Poverty,Living In poverty (&lt;100%FPL) (0-17),11,2008-2012,0-17,Children and teens ages 0-17 living in poverty (&lt;100% Federal Poverty Level) in the past 12 months. The Census Bureau uses a set of dollar value thresholds that vary by family size and composition to determine who is in poverty. For more information on
Health Topic,3087,REGWLKA,AD37W-AD42W,Physical activity,Walked at least 150 minutes (18+),11,2011-2012,18+,Adults ages 18+ who walked for transportation or leisure for at least 150 minutes in the past week.
Socio-Demographics,3088,SAMEHOUSEA,-,Mobility,Lived in same home 1 year ago (18+),11,2008-2012,18+,"Adults ages 18+ who did not move during the past year. For more information, visit: http://bit.ly/B07001"
Health Topic,3089,SMKCURA,SMKCUR,Smoking,Current smoker (18+),11,2011-2012,18+,Adult respondents ages 18+ were asked a series of smoking-related questions to obtain a current smoker status.
Health Topic,3090,UNINSA,INS,Uninsured,Currently uninsured (18-64),11,2011-2012,18-64,Constructed using various health insurance questions for adults ages 18-64. Currently uninsured at time of interview.
Health Topic,3091,UNINSTC,INS,Uninsured,Currently uninsured (0-17),11,2011-2012,0-17,Constructed using various health insurance questions for children & teens ages 0-17. Currently uninsured at time of interview.
Socio-Demographics,3092,WHITEA,-,Race,White only (18+),11,2008-2012,18+,"Adults ages 18+ who are White alone. For more information, visit: http://bit.ly/B01001A"
Socio-Demographics,3093,WHITETC,-,Race,White only (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who are White alone. For more information, visit: http://bit.ly/B01001A"
Socio-Demographics,3094,WORKINGA,-,Work Status,Working (18+),11,2008-2012,18+,"Civilian adults ages 18+ who either (1) were ""at work""; or (2) ""with a job but not at work"": http://bit.ly/B23001"
