table,sequence_id,column,datatype,transform,description
obesea,8,estimate,float,,Measurement estimate
obesea,9,se,float,,Standard error in the measure estimate
obesea,10,ci_lb95,float,,Lower bound on the 95% confidence interval
obesea,11,ci_ub95,float,,Upper bound on the 95% confidence interval
obesea,12,cv,float,,Coefficient of variation of the measurement estimate.
obesea,13,mse,float,,Mean Squared Error
,,,,,
dlycaretc,1,id,int,,Delay in receiving care: Delayed prescriptions/medical services (0-17)
dlycaretc,2,geoname,str,,Common name of geographic region
dlycaretc,3,geotype,str,,Name of the type of geographic region
dlycaretc,4,geoid,str,,Identification number for the geographic region
dlycaretc,5,supressed,str,,"If True, estimates for this region have been supressed"
dlycaretc,6,suppresed_reason,str,,The reason that a estimate is supressed
dlycaretc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
dlycaretc,8,estimate,float,,Measurement estimate
dlycaretc,9,se,float,,Standard error in the measure estimate
dlycaretc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
dlycaretc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
dlycaretc,12,cv,float,,Coefficient of variation of the measurement estimate.
dlycaretc,13,mse,float,,Mean Squared Error
,,,,,
latinoa,1,id,int,,Ethnicity: Hispanic or Latino (18+)
latinoa,2,geoname,str,,Common name of geographic region
latinoa,3,geotype,str,,Name of the type of geographic region
latinoa,4,geoid,str,,Identification number for the geographic region
latinoa,5,supressed,str,,"If True, estimates for this region have been supressed"
latinoa,6,suppresed_reason,str,,The reason that a estimate is supressed
latinoa,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
latinoa,8,estimate,float,,Measurement estimate
latinoa,9,se,float,,Standard error in the measure estimate
latinoa,10,ci_lb95,float,,Lower bound on the 95% confidence interval
latinoa,11,ci_ub95,float,,Upper bound on the 95% confidence interval
latinoa,12,cv,float,,Coefficient of variation of the measurement estimate.
latinoa,13,mse,float,,Mean Squared Error
,,,,,
asthmatc,1,id,int,,Asthma: Ever diagnosed with asthma (1-17)
asthmatc,2,geoname,str,,Common name of geographic region
asthmatc,3,geotype,str,,Name of the type of geographic region
asthmatc,4,geoid,str,,Identification number for the geographic region
asthmatc,5,supressed,str,,"If True, estimates for this region have been supressed"
asthmatc,6,suppresed_reason,str,,The reason that a estimate is supressed
asthmatc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
asthmatc,8,estimate,float,,Measurement estimate
asthmatc,9,se,float,,Standard error in the measure estimate
asthmatc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
asthmatc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
asthmatc,12,cv,float,,Coefficient of variation of the measurement estimate.
asthmatc,13,mse,float,,Mean Squared Error
,,,,,
nhwhitetc,1,id,int,,Ethnicity: Non-Hispanic White only (0-17)
nhwhitetc,2,geoname,str,,Common name of geographic region
nhwhitetc,3,geotype,str,,Name of the type of geographic region
nhwhitetc,4,geoid,str,,Identification number for the geographic region
nhwhitetc,5,supressed,str,,"If True, estimates for this region have been supressed"
nhwhitetc,6,suppresed_reason,str,,The reason that a estimate is supressed
nhwhitetc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
nhwhitetc,8,estimate,float,,Measurement estimate
nhwhitetc,9,se,float,,Standard error in the measure estimate
nhwhitetc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
nhwhitetc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
nhwhitetc,12,cv,float,,Coefficient of variation of the measurement estimate.
nhwhitetc,13,mse,float,,Mean Squared Error
,,,,,
ovrwtobeset,1,id,int,,Obese/Overweight: Overweight or obese (BMI &ge; 85th percentile) (12-17)
ovrwtobeset,2,geoname,str,,Common name of geographic region
ovrwtobeset,3,geotype,str,,Name of the type of geographic region
ovrwtobeset,4,geoid,str,,Identification number for the geographic region
ovrwtobeset,5,supressed,str,,"If True, estimates for this region have been supressed"
ovrwtobeset,6,suppresed_reason,str,,The reason that a estimate is supressed
ovrwtobeset,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
ovrwtobeset,8,estimate,float,,Measurement estimate
ovrwtobeset,9,se,float,,Standard error in the measure estimate
ovrwtobeset,10,ci_lb95,float,,Lower bound on the 95% confidence interval
ovrwtobeset,11,ci_ub95,float,,Upper bound on the 95% confidence interval
ovrwtobeset,12,cv,float,,Coefficient of variation of the measurement estimate.
ovrwtobeset,13,mse,float,,Mean Squared Error
,,,,,
fphealthtc,1,id,int,,Health status: Fair or poor health (0-17)
fphealthtc,2,geoname,str,,Common name of geographic region
fphealthtc,3,geotype,str,,Name of the type of geographic region
fphealthtc,4,geoid,str,,Identification number for the geographic region
fphealthtc,5,supressed,str,,"If True, estimates for this region have been supressed"
fphealthtc,6,suppresed_reason,str,,The reason that a estimate is supressed
fphealthtc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
fphealthtc,8,estimate,float,,Measurement estimate
fphealthtc,9,se,float,,Standard error in the measure estimate
fphealthtc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
fphealthtc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
fphealthtc,12,cv,float,,Coefficient of variation of the measurement estimate.
fphealthtc,13,mse,float,,Mean Squared Error
,,,,,
movefrabra,1,id,int,,Mobility: Moved from abroad (18+)
movefrabra,2,geoname,str,,Common name of geographic region
movefrabra,3,geotype,str,,Name of the type of geographic region
movefrabra,4,geoid,str,,Identification number for the geographic region
movefrabra,5,supressed,str,,"If True, estimates for this region have been supressed"
movefrabra,6,suppresed_reason,str,,The reason that a estimate is supressed
movefrabra,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
movefrabra,8,estimate,float,,Measurement estimate
movefrabra,9,se,float,,Standard error in the measure estimate
movefrabra,10,ci_lb95,float,,Lower bound on the 95% confidence interval
movefrabra,11,ci_ub95,float,,Upper bound on the 95% confidence interval
movefrabra,12,cv,float,,Coefficient of variation of the measurement estimate.
movefrabra,13,mse,float,,Mean Squared Error
,,,,,
flushotc,1,id,int,,Flu vaccine: Received flu vaccine (6m-11)
flushotc,2,geoname,str,,Common name of geographic region
flushotc,3,geotype,str,,Name of the type of geographic region
flushotc,4,geoid,str,,Identification number for the geographic region
flushotc,5,supressed,str,,"If True, estimates for this region have been supressed"
flushotc,6,suppresed_reason,str,,The reason that a estimate is supressed
flushotc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
flushotc,8,estimate,float,,Measurement estimate
flushotc,9,se,float,,Standard error in the measure estimate
flushotc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
flushotc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
flushotc,12,cv,float,,Coefficient of variation of the measurement estimate.
flushotc,13,mse,float,,Mean Squared Error
,,,,,
lthighscha,1,id,int,,Education: Less than high school (18+)
lthighscha,2,geoname,str,,Common name of geographic region
lthighscha,3,geotype,str,,Name of the type of geographic region
lthighscha,4,geoid,str,,Identification number for the geographic region
lthighscha,5,supressed,str,,"If True, estimates for this region have been supressed"
lthighscha,6,suppresed_reason,str,,The reason that a estimate is supressed
lthighscha,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
lthighscha,8,estimate,float,,Measurement estimate
lthighscha,9,se,float,,Standard error in the measure estimate
lthighscha,10,ci_lb95,float,,Lower bound on the 95% confidence interval
lthighscha,11,ci_ub95,float,,Upper bound on the 95% confidence interval
lthighscha,12,cv,float,,Coefficient of variation of the measurement estimate.
lthighscha,13,mse,float,,Mean Squared Error
,,,,,
blacka,1,id,int,,Race: Black only (18+)
blacka,2,geoname,str,,Common name of geographic region
blacka,3,geotype,str,,Name of the type of geographic region
blacka,4,geoid,str,,Identification number for the geographic region
blacka,5,supressed,str,,"If True, estimates for this region have been supressed"
blacka,6,suppresed_reason,str,,The reason that a estimate is supressed
blacka,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
blacka,8,estimate,float,,Measurement estimate
blacka,9,se,float,,Standard error in the measure estimate
blacka,10,ci_lb95,float,,Lower bound on the 95% confidence interval
blacka,11,ci_ub95,float,,Upper bound on the 95% confidence interval
blacka,12,cv,float,,Coefficient of variation of the measurement estimate.
blacka,13,mse,float,,Mean Squared Error
,,,,,
ovrwtagec,1,id,int,,Obese/Overweight: Overweight for age  (weight &ge; 95th percentile) (2-11)
ovrwtagec,2,geoname,str,,Common name of geographic region
ovrwtagec,3,geotype,str,,Name of the type of geographic region
ovrwtagec,4,geoid,str,,Identification number for the geographic region
ovrwtagec,5,supressed,str,,"If True, estimates for this region have been supressed"
ovrwtagec,6,suppresed_reason,str,,The reason that a estimate is supressed
ovrwtagec,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
ovrwtagec,8,estimate,float,,Measurement estimate
ovrwtagec,9,se,float,,Standard error in the measure estimate
ovrwtagec,10,ci_lb95,float,,Lower bound on the 95% confidence interval
ovrwtagec,11,ci_ub95,float,,Upper bound on the 95% confidence interval
ovrwtagec,12,cv,float,,Coefficient of variation of the measurement estimate.
ovrwtagec,13,mse,float,,Mean Squared Error
,,,,,
dstrsa,1,id,int,,Mental health: Serious psychological distress (18+)
dstrsa,2,geoname,str,,Common name of geographic region
dstrsa,3,geotype,str,,Name of the type of geographic region
dstrsa,4,geoid,str,,Identification number for the geographic region
dstrsa,5,supressed,str,,"If True, estimates for this region have been supressed"
dstrsa,6,suppresed_reason,str,,The reason that a estimate is supressed
dstrsa,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
dstrsa,8,estimate,float,,Measurement estimate
dstrsa,9,se,float,,Standard error in the measure estimate
dstrsa,10,ci_lb95,float,,Lower bound on the 95% confidence interval
dstrsa,11,ci_ub95,float,,Upper bound on the 95% confidence interval
dstrsa,12,cv,float,,Coefficient of variation of the measurement estimate.
dstrsa,13,mse,float,,Mean Squared Error
,,,,,
blacktc,1,id,int,,Race: Black only (0-17)
blacktc,2,geoname,str,,Common name of geographic region
blacktc,3,geotype,str,,Name of the type of geographic region
blacktc,4,geoid,str,,Identification number for the geographic region
blacktc,5,supressed,str,,"If True, estimates for this region have been supressed"
blacktc,6,suppresed_reason,str,,The reason that a estimate is supressed
blacktc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
blacktc,8,estimate,float,,Measurement estimate
blacktc,9,se,float,,Standard error in the measure estimate
blacktc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
blacktc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
blacktc,12,cv,float,,Coefficient of variation of the measurement estimate.
blacktc,13,mse,float,,Mean Squared Error
,,,,,
flushote,1,id,int,,Flu vaccine: Received flu vaccine (65+)
flushote,2,geoname,str,,Common name of geographic region
flushote,3,geotype,str,,Name of the type of geographic region
flushote,4,geoid,str,,Identification number for the geographic region
flushote,5,supressed,str,,"If True, estimates for this region have been supressed"
flushote,6,suppresed_reason,str,,The reason that a estimate is supressed
flushote,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
flushote,8,estimate,float,,Measurement estimate
flushote,9,se,float,,Standard error in the measure estimate
flushote,10,ci_lb95,float,,Lower bound on the 95% confidence interval
flushote,11,ci_ub95,float,,Upper bound on the 95% confidence interval
flushote,12,cv,float,,Coefficient of variation of the measurement estimate.
flushote,13,mse,float,,Mean Squared Error
,,,,,
movewusa,1,id,int,,Mobility: Moved within U.S. (18+)
movewusa,2,geoname,str,,Common name of geographic region
movewusa,3,geotype,str,,Name of the type of geographic region
movewusa,4,geoid,str,,Identification number for the geographic region
movewusa,5,supressed,str,,"If True, estimates for this region have been supressed"
movewusa,6,suppresed_reason,str,,The reason that a estimate is supressed
movewusa,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
movewusa,8,estimate,float,,Measurement estimate
movewusa,9,se,float,,Standard error in the measure estimate
movewusa,10,ci_lb95,float,,Lower bound on the 95% confidence interval
movewusa,11,ci_ub95,float,,Upper bound on the 95% confidence interval
movewusa,12,cv,float,,Coefficient of variation of the measurement estimate.
movewusa,13,mse,float,,Mean Squared Error
,,,,,
engonlya,1,id,int,,Language at Home: English only (18+)
engonlya,2,geoname,str,,Common name of geographic region
engonlya,3,geotype,str,,Name of the type of geographic region
engonlya,4,geoid,str,,Identification number for the geographic region
engonlya,5,supressed,str,,"If True, estimates for this region have been supressed"
engonlya,6,suppresed_reason,str,,The reason that a estimate is supressed
engonlya,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
engonlya,8,estimate,float,,Measurement estimate
engonlya,9,se,float,,Standard error in the measure estimate
engonlya,10,ci_lb95,float,,Lower bound on the 95% confidence interval
engonlya,11,ci_ub95,float,,Upper bound on the 95% confidence interval
engonlya,12,cv,float,,Coefficient of variation of the measurement estimate.
engonlya,13,mse,float,,Mean Squared Error
,,,,,
heartda,1,id,int,,Heart disease: Ever diagnosed with heart disease (18+)
heartda,2,geoname,str,,Common name of geographic region
heartda,3,geotype,str,,Name of the type of geographic region
heartda,4,geoid,str,,Identification number for the geographic region
heartda,5,supressed,str,,"If True, estimates for this region have been supressed"
heartda,6,suppresed_reason,str,,The reason that a estimate is supressed
heartda,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
heartda,8,estimate,float,,Measurement estimate
heartda,9,se,float,,Standard error in the measure estimate
heartda,10,ci_lb95,float,,Lower bound on the 95% confidence interval
heartda,11,ci_ub95,float,,Upper bound on the 95% confidence interval
heartda,12,cv,float,,Coefficient of variation of the measurement estimate.
heartda,13,mse,float,,Mean Squared Error
,,,,,
latinotc,1,id,int,,Ethnicity: Hispanic or Latino (0-17)
latinotc,2,geoname,str,,Common name of geographic region
latinotc,3,geotype,str,,Name of the type of geographic region
latinotc,4,geoid,str,,Identification number for the geographic region
latinotc,5,supressed,str,,"If True, estimates for this region have been supressed"
latinotc,6,suppresed_reason,str,,The reason that a estimate is supressed
latinotc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
latinotc,8,estimate,float,,Measurement estimate
latinotc,9,se,float,,Standard error in the measure estimate
latinotc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
latinotc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
latinotc,12,cv,float,,Coefficient of variation of the measurement estimate.
latinotc,13,mse,float,,Mean Squared Error
,,,,,
dentc,1,id,int,,Dental visits: Visited dentist (2-11)
dentc,2,geoname,str,,Common name of geographic region
dentc,3,geotype,str,,Name of the type of geographic region
dentc,4,geoid,str,,Identification number for the geographic region
dentc,5,supressed,str,,"If True, estimates for this region have been supressed"
dentc,6,suppresed_reason,str,,The reason that a estimate is supressed
dentc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
dentc,8,estimate,float,,Measurement estimate
dentc,9,se,float,,Standard error in the measure estimate
dentc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
dentc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
dentc,12,cv,float,,Coefficient of variation of the measurement estimate.
dentc,13,mse,float,,Mean Squared Error
,,,,,
fphealtha,1,id,int,,Health status: Fair or poor health (18-64)
fphealtha,2,geoname,str,,Common name of geographic region
fphealtha,3,geotype,str,,Name of the type of geographic region
fphealtha,4,geoid,str,,Identification number for the geographic region
fphealtha,5,supressed,str,,"If True, estimates for this region have been supressed"
fphealtha,6,suppresed_reason,str,,The reason that a estimate is supressed
fphealtha,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
fphealtha,8,estimate,float,,Measurement estimate
fphealtha,9,se,float,,Standard error in the measure estimate
fphealtha,10,ci_lb95,float,,Lower bound on the 95% confidence interval
fphealtha,11,ci_ub95,float,,Upper bound on the 95% confidence interval
fphealtha,12,cv,float,,Coefficient of variation of the measurement estimate.
fphealtha,13,mse,float,,Mean Squared Error
,,,,,
dlycarea,1,id,int,,Delay in receiving care: Delayed prescriptions/medical services (18+)
dlycarea,2,geoname,str,,Common name of geographic region
dlycarea,3,geotype,str,,Name of the type of geographic region
dlycarea,4,geoid,str,,Identification number for the geographic region
dlycarea,5,supressed,str,,"If True, estimates for this region have been supressed"
dlycarea,6,suppresed_reason,str,,The reason that a estimate is supressed
dlycarea,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
dlycarea,8,estimate,float,,Measurement estimate
dlycarea,9,se,float,,Standard error in the measure estimate
dlycarea,10,ci_lb95,float,,Lower bound on the 95% confidence interval
dlycarea,11,ci_ub95,float,,Upper bound on the 95% confidence interval
dlycarea,12,cv,float,,Coefficient of variation of the measurement estimate.
dlycarea,13,mse,float,,Mean Squared Error
,,,,,
borncitza,1,id,int,,Nativity / Citizenship: Born U.S. citizen (18+)
borncitza,2,geoname,str,,Common name of geographic region
borncitza,3,geotype,str,,Name of the type of geographic region
borncitza,4,geoid,str,,Identification number for the geographic region
borncitza,5,supressed,str,,"If True, estimates for this region have been supressed"
borncitza,6,suppresed_reason,str,,The reason that a estimate is supressed
borncitza,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
borncitza,8,estimate,float,,Measurement estimate
borncitza,9,se,float,,Standard error in the measure estimate
borncitza,10,ci_lb95,float,,Lower bound on the 95% confidence interval
borncitza,11,ci_ub95,float,,Upper bound on the 95% confidence interval
borncitza,12,cv,float,,Coefficient of variation of the measurement estimate.
borncitza,13,mse,float,,Mean Squared Error
,,,,,
othermixtc,1,id,int,,Race: Other only/Mixed (0-17)
othermixtc,2,geoname,str,,Common name of geographic region
othermixtc,3,geotype,str,,Name of the type of geographic region
othermixtc,4,geoid,str,,Identification number for the geographic region
othermixtc,5,supressed,str,,"If True, estimates for this region have been supressed"
othermixtc,6,suppresed_reason,str,,The reason that a estimate is supressed
othermixtc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
othermixtc,8,estimate,float,,Measurement estimate
othermixtc,9,se,float,,Standard error in the measure estimate
othermixtc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
othermixtc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
othermixtc,12,cv,float,,Coefficient of variation of the measurement estimate.
othermixtc,13,mse,float,,Mean Squared Error
,,,,,
femalea,1,id,int,,Gender: Female (18+)
femalea,2,geoname,str,,Common name of geographic region
femalea,3,geotype,str,,Name of the type of geographic region
femalea,4,geoid,str,,Identification number for the geographic region
femalea,5,supressed,str,,"If True, estimates for this region have been supressed"
femalea,6,suppresed_reason,str,,The reason that a estimate is supressed
femalea,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
femalea,8,estimate,float,,Measurement estimate
femalea,9,se,float,,Standard error in the measure estimate
femalea,10,ci_lb95,float,,Lower bound on the 95% confidence interval
femalea,11,ci_ub95,float,,Upper bound on the 95% confidence interval
femalea,12,cv,float,,Coefficient of variation of the measurement estimate.
femalea,13,mse,float,,Mean Squared Error
,,,,,
diaba,1,id,int,,Diabetes: Ever diagnosed with diabetes (18+)
diaba,2,geoname,str,,Common name of geographic region
diaba,3,geotype,str,,Name of the type of geographic region
diaba,4,geoid,str,,Identification number for the geographic region
diaba,5,supressed,str,,"If True, estimates for this region have been supressed"
diaba,6,suppresed_reason,str,,The reason that a estimate is supressed
diaba,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
diaba,8,estimate,float,,Measurement estimate
diaba,9,se,float,,Standard error in the measure estimate
diaba,10,ci_lb95,float,,Lower bound on the 95% confidence interval
diaba,11,ci_ub95,float,,Upper bound on the 95% confidence interval
