"table","column","datatype","size","description","transform"
"pqi","pqi_14_uncontrolled_diabetes_population","int",8,"PQI #14 Uncontrolled Diabetes Population",
"pqi","pqi_14_uncontrolled_diabetes_observed_rate","float",,"PQI #14 Uncontrolled Diabetes Observed Rate",
"pqi","pqi_14_uncontrolled_diabetes_risk_adjusted_rate","float",,"PQI #14 Uncontrolled Diabetes Risk-Adjusted Rate",
"pqi","pqi_15_asthma_in_younger_adults_cases","int",4,"PQI #15 Asthma in Younger Adults # Cases",
"pqi","pqi_15_asthma_in_younger_adults_population","int",8,"PQI #15 Asthma in Younger Adults Population",
"pqi","pqi_15_asthma_in_younger_adults_observed_rate","float",,"PQI #15 Asthma in Younger Adults Observed Rate",
"pqi","pqi_15_asthma_in_younger_adults_risk_adjusted_rate","float",,"PQI #15 Asthma in Younger Adults Risk-Adjusted Rate",
"pqi","pqi_16_lower_extremity_amputation_among_patients_with_diabetes_cases","int",4,"PQI #16 Lower-Extremity Amputation Among Patients with Diabetes # Cases",
"pqi","pqi_16_lower_extremity_amputation_among_patients_with_diabetes_population","int",8,"PQI #16 Lower-Extremity Amputation Among Patients with Diabetes Population",
"pqi","pqi_16_lower_extremity_amputation_among_patients_with_diabetes_observed_rate","float",,"PQI #16 Lower-Extremity Amputation Among Patients with Diabetes Observed Rate",
"pqi","pqi_16_lower_extremity_amputation_among_patients_with_diabetes_risk_adjusted_rate","float",,"PQI #16 Lower-Extremity Amputation Among Patients with Diabetes Risk-Adjusted Rate",
"pqi","pqi_90_overall_composite_cases","int",6,"PQI #90 Overall Composite # Cases",
"pqi","pqi_90_overall_composite_population","int",8,"PQI #90 Overall Composite Population",
"pqi","pqi_90_overall_composite_observed_rate","float",,"PQI #90 Overall Composite Observed Rate",
"pqi","pqi_90_overall_composite_risk_adjusted_rate","float",,"PQI #90 Overall Composite Risk-Adjusted Rate",
"pqi","pqi_91_acute_composite_cases","int",6,"PQI #91 Acute Composite # Cases",
"pqi","pqi_91_acute_composite_population","int",8,"PQI #91 Acute Composite Population",
"pqi","pqi_91_acute_composite_observed_rate","float",,"PQI #91 Acute Composite Observed Rate",
"pqi","pqi_91_acute_composite_risk_adjusted_rate","float",,"PQI #91 Acute Composite Risk-Adjusted Rate",
"pqi","pqi_92_chronic_composite_cases","int",6,"PQI #92 Chronic Composite # Cases",
"pqi","pqi_92_chronic_composite_population","int",8,"PQI #92 Chronic Composite Population",
"pqi","pqi_92_chronic_composite_observed_rate","float",,"PQI #92 Chronic Composite Observed Rate",
"pqi","pqi_92_chronic_composite_risk_adjusted_rate","float",,"PQI #92 Chronic Composite Risk-Adjusted Rate",
