table,sequence_id,column,datatype
brfss2013,127,medbills,int
brfss2013,128,ssbsugar,int
brfss2013,129,ssbfrut2,int
brfss2013,130,wtchsalt,str
brfss2013,131,longwtch,str
brfss2013,132,dradvise,str
brfss2013,133,asthmage,str
brfss2013,134,asattack,str
brfss2013,135,aservist,str
brfss2013,136,asdrvist,str
brfss2013,137,asrchkup,str
brfss2013,138,asactlim,str
brfss2013,139,asymptom,str
brfss2013,140,asnoslep,str
brfss2013,141,asthmed3,str
brfss2013,142,asinhalr,str
brfss2013,143,harehab1,str
brfss2013,144,strehab1,str
brfss2013,145,cvdasprn,str
brfss2013,146,aspunsaf,str
brfss2013,147,rlivpain,str
brfss2013,148,rduchart,str
brfss2013,149,rducstrk,str
brfss2013,150,arttoday,str
brfss2013,151,arthwgt,str
brfss2013,152,arthexer,str
brfss2013,153,arthedu,str
brfss2013,154,imfvplac,str
brfss2013,155,hpvadvc2,str
brfss2013,156,hpvadsht,str
brfss2013,157,hadmam,str
brfss2013,158,howlong,str
brfss2013,159,profexam,str
brfss2013,160,lengexam,str
brfss2013,161,hadpap2,str
brfss2013,162,lastpap2,str
brfss2013,163,hadhyst2,str
brfss2013,164,bldstool,str
brfss2013,165,lstblds3,str
brfss2013,166,hadsigm3,str
brfss2013,167,hadsgco1,str
brfss2013,168,lastsig3,str
brfss2013,169,pcpsaad2,str
brfss2013,170,pcpsadi1,str
brfss2013,171,pcpsare1,str
brfss2013,172,psatest1,str
brfss2013,173,psatime,str
brfss2013,174,pcpsars1,str
brfss2013,175,pcpsade1,str
brfss2013,176,pcdmdecn,str
brfss2013,177,rrclass2,str
brfss2013,178,rrcognt2,str
brfss2013,179,rratwrk2,str
brfss2013,180,rrhcare3,str
brfss2013,181,rrphysm2,str
brfss2013,182,rremtsm2,str
brfss2013,183,misnervs,str
brfss2013,184,mishopls,str
brfss2013,185,misrstls,str
brfss2013,186,misdeprd,str
brfss2013,187,miseffrt,str
brfss2013,188,miswtles,str
brfss2013,189,misnowrk,str
brfss2013,190,mistmnt,str
brfss2013,191,mistrhlp,str
brfss2013,192,misphlpf,str
brfss2013,193,scntmony,str
brfss2013,194,scntmeal,str
brfss2013,195,scntpaid,str
brfss2013,196,scntwrk1,str
brfss2013,197,scntlpad,str
brfss2013,198,scntlwk1,str
brfss2013,199,scntvot1,str
brfss2013,200,rcsgendr,str
brfss2013,201,rcsrltn2,str
brfss2013,202,casthdx2,str
brfss2013,203,casthno2,str
brfss2013,204,emtsuprt,str
brfss2013,205,lsatisfy,str
brfss2013,206,ctelnum1,int
brfss2013,207,cellfon2,int
brfss2013,208,cadult,int
brfss2013,209,pvtresd2,int
brfss2013,210,cclghous,int
brfss2013,211,cstate,int
brfss2013,212,landline,int
brfss2013,213,pctcell,int
brfss2013,214,qstver,int
brfss2013,215,qstlang,int
brfss2013,216,mscode,int
brfss2013,217,_ststr,int
brfss2013,218,_strwt,float
brfss2013,219,_rawrake,float
brfss2013,220,_wt2rake,float
brfss2013,221,_imprace,int
brfss2013,222,_impnph,int
brfss2013,223,_impeduc,str
brfss2013,224,_impmrtl,str
brfss2013,225,_imphome,str
brfss2013,226,_chispnc,int
brfss2013,227,_crace1,int
brfss2013,228,_impcage,int
brfss2013,229,_impcrac,int
brfss2013,230,_impcsex,int
brfss2013,231,_cllcpwt,float
brfss2013,232,_dualuse,int
brfss2013,233,_dualcor,float
brfss2013,234,_llcpwt2,float
brfss2013,235,_llcpwt,float
brfss2013,236,_rfhlth,int
brfss2013,237,_hcvu651,int
brfss2013,238,_rfhype5,int
brfss2013,239,_cholchk,int
brfss2013,240,_rfchol,int
brfss2013,241,_ltasth1,int
brfss2013,242,_casthm1,int
brfss2013,243,_asthms1,int
brfss2013,244,_drdxar1,int
brfss2013,245,_prace1,int
brfss2013,246,_mrace1,int
brfss2013,247,_hispanc,int
brfss2013,248,_race,int
brfss2013,249,_raceg21,int
brfss2013,250,_racegr3,int
brfss2013,251,_race_g1,int
brfss2013,252,_ageg5yr,int
brfss2013,253,_age65yr,int
brfss2013,254,_age_g,int
brfss2013,255,htin4,int
brfss2013,256,htm4,int
brfss2013,257,wtkg3,int
brfss2013,258,_bmi5,int
brfss2013,259,_bmi5cat,int
brfss2013,260,_rfbmi5,int
brfss2013,261,_chldcnt,int
brfss2013,262,_educag,int
brfss2013,263,_incomg,int
brfss2013,264,_smoker3,int
brfss2013,265,_rfsmok3,int
brfss2013,266,drnkany5,int
brfss2013,267,drocdy3,int
brfss2013,268,_rfbing5,int
brfss2013,269,_drnkdy4,int
brfss2013,270,_drnkmo4,int
brfss2013,271,_rfdrhv4,int
brfss2013,272,_rfdrmn4,int
brfss2013,273,_rfdrwm4,int
brfss2013,274,ftjuda1,int
brfss2013,275,frutda1,int
brfss2013,276,beanday,int
brfss2013,277,grenday,int
brfss2013,278,orngday,int
brfss2013,279,vegeda1,int
brfss2013,280,_misfrtn,int
brfss2013,281,_misvegn,int
brfss2013,282,_frtresp,int
brfss2013,283,_vegresp,int
brfss2013,284,_frutsum,int
brfss2013,285,_vegesum,int
brfss2013,286,_frt16,int
brfss2013,287,_veg23,int
brfss2013,288,_fruitex,int
brfss2013,289,_vegetex,int
brfss2013,290,_frtlt1,int
brfss2013,291,_veglt1,int
brfss2013,292,_totinda,int
brfss2013,293,metvl11,int
brfss2013,294,metvl21,int
brfss2013,295,maxvo2,int
brfss2013,296,fc60,int
brfss2013,297,actin11,int
brfss2013,298,actin21,int
brfss2013,299,padur1,int
brfss2013,300,padur2,int
brfss2013,301,pafreq1,int
brfss2013,302,pafreq2,int
brfss2013,303,_minac11,int
brfss2013,304,_minac21,int
brfss2013,305,strfreq,int
brfss2013,306,pamiss1,int
brfss2013,307,pamin11,int
brfss2013,308,pamin21,int
brfss2013,309,pa1min,int
brfss2013,310,pavig11,int
brfss2013,311,pavig21,int
brfss2013,312,pa1vigm,int
brfss2013,313,_pacat1,int
brfss2013,314,_paindx1,int
brfss2013,315,_pa150r2,int
brfss2013,316,_pa300r2,int
brfss2013,317,_pa30021,int
brfss2013,318,_pastrng,int
brfss2013,319,_parec1,int
brfss2013,320,_pastae1,int
brfss2013,321,_lmtact1,int
brfss2013,322,_lmtwrk1,int
brfss2013,323,_lmtscl1,int
brfss2013,324,_rfseat2,int
brfss2013,325,_rfseat3,int
brfss2013,326,_flshot6,int
brfss2013,327,_pneumo2,int
brfss2013,328,_aidtst3,int
brfss2013,329,_age80,int
