name,title,source_table_name,dest_table_name,stage,start_line,end_line,header_lines,description,reftype,ref,state
api,API Root Url,,,0,,,,,ref,http://services.healthindicators.gov/v5/REST.svc/,synced
indicator_1007,,indicator,indicator,2,,,,Varicella vaccination: kindergarteners,generator,GenerateIndicator;1007,synced
indicator_10070,,indicator,indicator,2,,,,Parent employed year round and full time: children,generator,GenerateIndicator;10070,synced
indicator_10071,,indicator,indicator,2,,,,Enrollment in college immediately after high school: high school completers,generator,GenerateIndicator;10071,synced
indicator_10072,,indicator,indicator,2,,,,Poverty,generator,GenerateIndicator;10072,synced
indicator_10073,,indicator,indicator,2,,,,Poverty: children < 18 years,generator,GenerateIndicator;10073,synced
indicator_10075,,indicator,indicator,2,,,,"Pharmacist training, counseling for health promotion",generator,GenerateIndicator;10075,synced
indicator_10076,,indicator,indicator,2,,,,"Pharmacist training, cultural diversity",generator,GenerateIndicator;10076,synced
indicator_10077,,indicator,indicator,2,,,,"Pharmacist training, evaluation of health sciences literature",generator,GenerateIndicator;10077,synced
indicator_10078,,indicator,indicator,2,,,,"Pharmacist training, environmental health",generator,GenerateIndicator;10078,synced
indicator_10079,,indicator,indicator,2,,,,"Pharmacist training,  public health systems",generator,GenerateIndicator;10079,synced
indicator_1008,,indicator,indicator,2,,,,Complete vaccination: children 19-35 months,generator,GenerateIndicator;1008,synced
indicator_10080,,indicator,indicator,2,,,,"Pharmacist training, global health",generator,GenerateIndicator;10080,synced
indicator_10081,,indicator,indicator,2,,,,"Dentist training, counseling for health promotion",generator,GenerateIndicator;10081,synced
indicator_10082,,indicator,indicator,2,,,,"Dentist training, cultural diversity",generator,GenerateIndicator;10082,synced
indicator_10083,,indicator,indicator,2,,,,"Dentist training, evaluation of health sciences literature",generator,GenerateIndicator;10083,synced
indicator_10084,,indicator,indicator,2,,,,"Dentist training, environmental health",generator,GenerateIndicator;10084,synced
indicator_10085,,indicator,indicator,2,,,,"Dentist training, public health systems",generator,GenerateIndicator;10085,synced
indicator_10086,,indicator,indicator,2,,,,"Dentist training, global health",generator,GenerateIndicator;10086,synced
indicator_10087,,indicator,indicator,2,,,,Interprofessional experiences: schools with health professions education programs,generator,GenerateIndicator;10087,synced
indicator_1009,,indicator,indicator,2,,,,Vaccination record keeping,generator,GenerateIndicator;1009,synced
indicator_10091,,indicator,indicator,2,,,,Population-based HP 2020 objectives with race and ethnicity data,generator,GenerateIndicator;10091,synced
indicator_10092,,indicator,indicator,2,,,,Population-based HP 2020 objectives with sex data,generator,GenerateIndicator;10092,synced
indicator_10093,,indicator,indicator,2,,,,Population-based HP 2020 objectives with socioeconomic status data,generator,GenerateIndicator;10093,synced
indicator_10094,,indicator,indicator,2,,,,Known health risks: news on foodborne disease outbreaks or national disasters,generator,GenerateIndicator;10094,synced
indicator_10095,,indicator,indicator,2,,,,Unknown risks to health: news on foodborne disease outbreaks or national disasters,generator,GenerateIndicator;10095,synced
indicator_10096,,indicator,indicator,2,,,,Event occurrence: news stories on foodborne disease outbreaks or national disasters,generator,GenerateIndicator;10096,synced
indicator_10097,,indicator,indicator,2,,,,Steps to reduce risk promoted: news on foodborne disease outbreaks or national disasters,generator,GenerateIndicator;10097,synced
indicator_10098,,indicator,indicator,2,,,,Empathy about health risk: news on foodborne disease outbreaks or national disasters,generator,GenerateIndicator;10098,synced
indicator_10099,,indicator,indicator,2,,,,Commitment to reduce risk: news on foodborne disease outbreaks or national disasters,generator,GenerateIndicator;10099,synced
indicator_1010,,indicator,indicator,2,,,,Tdap vaccination: teens 13-15 years,generator,GenerateIndicator;1010,synced
indicator_10100,,indicator,indicator,2,,,,Self-report good or better physical health: adults,generator,GenerateIndicator;10100,synced
indicator_10101,,indicator,indicator,2,,,,Self-report good or better mental health: adults,generator,GenerateIndicator;10101,synced
indicator_10103,,indicator,indicator,2,,,,Housing 30% of income: households,generator,GenerateIndicator;10103,synced
indicator_10104,,indicator,indicator,2,,,,Housing 30% of income: poor households,generator,GenerateIndicator;10104,synced
indicator_10105,,indicator,indicator,2,,,,Housing > 50% of income: households,generator,GenerateIndicator;10105,synced
indicator_10106,,indicator,indicator,2,,,,Housing > 50% of income: renter households,generator,GenerateIndicator;10106,synced
indicator_10107,,indicator,indicator,2,,,,Flu vaccination: children 6 months-17 years,generator,GenerateIndicator;10107,synced
indicator_10108,,indicator,indicator,2,,,,Flu vaccination: adults,generator,GenerateIndicator;10108,synced
indicator_10109,,indicator,indicator,2,,,,Flu vaccination: health care personnel,generator,GenerateIndicator;10109,synced
indicator_1011,,indicator,indicator,2,,,,Varicella vaccination: teens 13-15 years,generator,GenerateIndicator;1011,synced
indicator_10111,,indicator,indicator,2,,,,Laboratories monitor health status: States,generator,GenerateIndicator;10111,synced
indicator_10112,,indicator,indicator,2,,,,Laboratories support investigating community health problems: States,generator,GenerateIndicator;10112,synced
indicator_10113,,indicator,indicator,2,,,,Laboratories educate people about health issues: States,generator,GenerateIndicator;10113,synced
indicator_10114,,indicator,indicator,2,,,,Laboratories mobilize community partnerships: States,generator,GenerateIndicator;10114,synced
indicator_10115,,indicator,indicator,2,,,,Laboratories develop policies and plans for health efforts: States,generator,GenerateIndicator;10115,synced
indicator_10116,,indicator,indicator,2,,,,Laboratories enforcment of laws and regulations to protect health: States,generator,GenerateIndicator;10116,synced
indicator_10117,,indicator,indicator,2,,,,Laboratories linking to personal health services: States,generator,GenerateIndicator;10117,synced
indicator_10118,,indicator,indicator,2,,,,Laboratories assuring a competent health care workforce: States,generator,GenerateIndicator;10118,synced
indicator_10119,,indicator,indicator,2,,,,Laboratories evaluating health services: States,generator,GenerateIndicator;10119,synced
indicator_1012,,indicator,indicator,2,,,,Meningococcal vaccination: teens 13-15 years,generator,GenerateIndicator;1012,synced
indicator_10120,,indicator,indicator,2,,,,Laboratories support innovative research: States,generator,GenerateIndicator;10120,synced
indicator_1013,,indicator,indicator,2,,,,HPV vaccination: girls 13-15 years,generator,GenerateIndicator;1013,synced
indicator_10134,,indicator,indicator,2,,,,"Data systems in HP2020 that collect data on lesbian, gay, and bisexual populations",generator,GenerateIndicator;10134,synced
indicator_10135,,indicator,indicator,2,,,,Data systems in HP2020 that collect data on transgender populations,generator,GenerateIndicator;10135,synced
indicator_10136,,indicator,indicator,2,,,,HPV vaccination: males 13-15 years,generator,GenerateIndicator;10136,synced
indicator_10141,,indicator,indicator,2,,,,Preemptive stronger local tobacco control laws on licensure: States,generator,GenerateIndicator;10141,synced
indicator_10142,,indicator,indicator,2,,,,Proper handwashing by restaurant employees in fast-food restaurants,generator,GenerateIndicator;10142,synced
indicator_10143,,indicator,indicator,2,,,,No contact with ready-to-eat foods by employees with bare hands in fast-food restaurants,generator,GenerateIndicator;10143,synced
indicator_10144,,indicator,indicator,2,,,,Properly cleaned and sanitized food contact surfaces in fast-food restaurants,generator,GenerateIndicator;10144,synced
indicator_10145,,indicator,indicator,2,,,,Properly refrigerated foods in fast-food restaurants,generator,GenerateIndicator;10145,synced
indicator_10146,,indicator,indicator,2,,,,Proper hot holding in fast-food restaurants,generator,GenerateIndicator;10146,synced
indicator_10147,,indicator,indicator,2,,,,Proper handwashing in full-service restaurants,generator,GenerateIndicator;10147,synced
indicator_10148,,indicator,indicator,2,,,,No bare hand contact of RTE foods in full- service restaurants,generator,GenerateIndicator;10148,synced
indicator_10149,,indicator,indicator,2,,,,Food contact surfaces cleaned and sanitized in full-service restaurants,generator,GenerateIndicator;10149,synced
indicator_10150,,indicator,indicator,2,,,,Proper refrigeration in full-service restaurants,generator,GenerateIndicator;10150,synced
indicator_10151,,indicator,indicator,2,,,,Proper hot holding in full-service restaurants,generator,GenerateIndicator;10151,synced
indicator_10157,,indicator,indicator,2,,,,High-tech tax stamps on cigarette packs,generator,GenerateIndicator;10157,synced
indicator_1016,,indicator,indicator,2,,,,Hepatitis B vaccination: health care workers,generator,GenerateIndicator;1016,synced
indicator_10167,,indicator,indicator,2,,,,HIV testing: persons 15-44 years,generator,GenerateIndicator;10167,synced
indicator_10168,,indicator,indicator,2,,,,Antibiotics for ear infections: children <5 years,generator,GenerateIndicator;10168,synced
indicator_10169,,indicator,indicator,2,,,,Antibiotic use: persons with the common colds,generator,GenerateIndicator;10169,synced
indicator_10170,,indicator,indicator,2,,,,Aerobic physical activity meeting guidelines: teens,generator,GenerateIndicator;10170,synced
indicator_10171,,indicator,indicator,2,,,,Epidemiology services: Local public health agencies,generator,GenerateIndicator;10171,synced
indicator_1018,,indicator,indicator,2,,,,Pneumococcal vaccination: older adults,generator,GenerateIndicator;1018,synced
indicator_1019,,indicator,indicator,2,,,,Pneumococcal vaccination: high-risk adults,generator,GenerateIndicator;1019,synced
indicator_1020,,indicator,indicator,2,,,,Pneumococcal vaccination: nursing home residents,generator,GenerateIndicator;1020,synced
indicator_1022,,indicator,indicator,2,,,,Hepatitis C infection status awareness,generator,GenerateIndicator;1022,synced
indicator_1024,,indicator,indicator,2,,,,"Rabies surveillance, electronic: states",generator,GenerateIndicator;1024,synced
indicator_1025,,indicator,indicator,2,,,,Immunization information system participation: States,generator,GenerateIndicator;1025,synced
indicator_1026,,indicator,indicator,2,,,,Kindergarten vaccination record keeping: States,generator,GenerateIndicator;1026,synced
indicator_1027,,indicator,indicator,2,,,,Shingles vaccination: older adults,generator,GenerateIndicator;1027,synced
indicator_1028,,indicator,indicator,2,,,,Influenza-virus resistance to antivirals monitoring: States,generator,GenerateIndicator;1028,synced
indicator_1039,,indicator,indicator,2,,,,"Vaccination, zero doses: children 18-35 months",generator,GenerateIndicator;1039,synced
indicator_1040,,indicator,indicator,2,,,,"Poisonings, nonfatal",generator,GenerateIndicator;1040,synced
indicator_1041,,indicator,indicator,2,,,,Homicide deaths,generator,GenerateIndicator;1041,synced
indicator_1042,,indicator,indicator,2,,,,Firearm-related deaths,generator,GenerateIndicator;1042,synced
indicator_1043,,indicator,indicator,2,,,,Nonfatal firearm-related injuries,generator,GenerateIndicator;1043,synced
indicator_1045,,indicator,indicator,2,,,,Pedestrian deaths,generator,GenerateIndicator;1045,synced
indicator_1046,,indicator,indicator,2,,,,"Pedestrian injuries, nonfatal",generator,GenerateIndicator;1046,synced
indicator_1047,,indicator,indicator,2,,,,Safety belt use,generator,GenerateIndicator;1047,synced
indicator_1048,,indicator,indicator,2,,,,Motorcycle helmet use,generator,GenerateIndicator;1048,synced
indicator_1049,,indicator,indicator,2,,,,Bicycle helmet laws: states,generator,GenerateIndicator;1049,synced
indicator_105,,indicator,indicator,2,,,,Toxic chemicals (pounds),generator,GenerateIndicator;105,synced
indicator_1050,,indicator,indicator,2,,,,Residential fire deaths,generator,GenerateIndicator;1050,synced
indicator_1051,,indicator,indicator,2,,,,Physical assaults: persons 12+ years,generator,GenerateIndicator;1051,synced
indicator_1052,,indicator,indicator,2,,,,Physical fighting: teens,generator,GenerateIndicator;1052,synced
indicator_1053,,indicator,indicator,2,,,,Weapon carrying on school property: teens,generator,GenerateIndicator;1053,synced
indicator_1054,,indicator,indicator,2,,,,Vehicle restraint proper use: infants 0-12 months,generator,GenerateIndicator;1054,synced
indicator_1055,,indicator,indicator,2,,,,Vehicle restraint proper use: children 1-3 years,generator,GenerateIndicator;1055,synced
indicator_1056,,indicator,indicator,2,,,,Vehicle restraint proper use: children 4-7 years,generator,GenerateIndicator;1056,synced
indicator_1057,,indicator,indicator,2,,,,Vehicle restraint proper use: children 8-12 years,generator,GenerateIndicator;1057,synced
indicator_1059,,indicator,indicator,2,,,,Traumatic brain injury deaths,generator,GenerateIndicator;1059,synced
indicator_1060,,indicator,indicator,2,,,,Traumatic brain injury hospitalizations,generator,GenerateIndicator;1060,synced
indicator_1061,,indicator,indicator,2,,,,Traumatic brain injury ED visits,generator,GenerateIndicator;1061,synced
indicator_1062,,indicator,indicator,2,,,,Spinal cord injury deaths,generator,GenerateIndicator;1062,synced
indicator_1063,,indicator,indicator,2,,,,Spinal cord injury hospitalizations,generator,GenerateIndicator;1063,synced
indicator_1064,,indicator,indicator,2,,,,Poisoning deaths,generator,GenerateIndicator;1064,synced
indicator_1065,,indicator,indicator,2,,,,Poisoning deaths: adults 35-54 years,generator,GenerateIndicator;1065,synced
indicator_1066,,indicator,indicator,2,,,,"Poisoning deaths, unintentional/undetermined",generator,GenerateIndicator;1066,synced
indicator_1067,,indicator,indicator,2,,,,"Poisoning deaths, unintentional/undetermined: adults 35-54 years",generator,GenerateIndicator;1067,synced
indicator_1068,,indicator,indicator,2,,,,"Suffocation deaths, unintentional",generator,GenerateIndicator;1068,synced
indicator_1069,,indicator,indicator,2,,,,"Suffocation deaths, unintentional: infants",generator,GenerateIndicator;1069,synced
indicator_1070,,indicator,indicator,2,,,,"Suffocation deaths, unintentional: older adults",generator,GenerateIndicator;1070,synced
indicator_1071,,indicator,indicator,2,,,,Injury deaths,generator,GenerateIndicator;1071,synced
indicator_1072,,indicator,indicator,2,,,,Injury hospitalizations,generator,GenerateIndicator;1072,synced
indicator_1073,,indicator,indicator,2,,,,Injury ED visits,generator,GenerateIndicator;1073,synced
indicator_1074,,indicator,indicator,2,,,,"Injury deaths, unintentional",generator,GenerateIndicator;1074,synced
indicator_1075,,indicator,indicator,2,,,,"Injuries, nonfatal unintentional",generator,GenerateIndicator;1075,synced
indicator_1076,,indicator,indicator,2,,,,Motor vehicle traffic deaths,generator,GenerateIndicator;1076,synced
indicator_1077,,indicator,indicator,2,,,,Motor vehicle crash deaths,generator,GenerateIndicator;1077,synced
indicator_1078,,indicator,indicator,2,,,,"Motor vehicle injuries, nonfatal",generator,GenerateIndicator;1078,synced
indicator_1079,,indicator,indicator,2,,,,"Fall deaths, unintentional",generator,GenerateIndicator;1079,synced
indicator_1080,,indicator,indicator,2,,,,Fall deaths: older adults,generator,GenerateIndicator;1080,synced
indicator_1081,,indicator,indicator,2,,,,Drownings,generator,GenerateIndicator;1081,synced
indicator_1082,,indicator,indicator,2,,,,Protective gear use in physical education: schools,generator,GenerateIndicator;1082,synced
indicator_1083,,indicator,indicator,2,,,,Protective gear use in intramural activities: schools,generator,GenerateIndicator;1083,synced
indicator_1084,,indicator,indicator,2,,,,"Child maltreatment, nonfatal",generator,GenerateIndicator;1084,synced
indicator_1085,,indicator,indicator,2,,,,Child maltreatment deaths,generator,GenerateIndicator;1085,synced
indicator_1093,,indicator,indicator,2,,,,E-code collection in emergency department: states,generator,GenerateIndicator;1093,synced
indicator_1094,,indicator,indicator,2,,,,E-code collection at hospital discharge: states,generator,GenerateIndicator;1094,synced
indicator_1096,,indicator,indicator,2,,,,"Trauma care access, by population",generator,GenerateIndicator;1096,synced
indicator_1097,,indicator,indicator,2,,,,"Trauma care access, by land mass",generator,GenerateIndicator;1097,synced
indicator_1098,,indicator,indicator,2,,,,"Injuries, sports and recreation",generator,GenerateIndicator;1098,synced
indicator_1099,,indicator,indicator,2,,,,"Physical assault injuries, nonfatal",generator,GenerateIndicator;1099,synced
indicator_1100,,indicator,indicator,2,,,,"Self-harm injuries, nonfatal",generator,GenerateIndicator;1100,synced
indicator_1101,,indicator,indicator,2,,,,Violent death surveillance: states,generator,GenerateIndicator;1101,synced
indicator_1102,,indicator,indicator,2,,,,Bullying: teens,generator,GenerateIndicator;1102,synced
indicator_1103,,indicator,indicator,2,,,,Pedal-cyclist deaths,generator,GenerateIndicator;1103,synced
indicator_1104,,indicator,indicator,2,,,,Violence exposure: children,generator,GenerateIndicator;1104,synced
indicator_1105,,indicator,indicator,2,,,,Suicide deaths,generator,GenerateIndicator;1105,synced
indicator_1106,,indicator,indicator,2,,,,Suicide attempts requiring medical attention: teens,generator,GenerateIndicator;1106,synced
indicator_1107,,indicator,indicator,2,,,,Mental health services receipt: homeless adults,generator,GenerateIndicator;1107,synced
indicator_1108,,indicator,indicator,2,,,,Eating disorders: teens,generator,GenerateIndicator;1108,synced
indicator_1109,,indicator,indicator,2,,,,Mental health treatment provision: primary care facilities,generator,GenerateIndicator;1109,synced
indicator_1110,,indicator,indicator,2,,,,Treatment: children with mental health problems,generator,GenerateIndicator;1110,synced
indicator_1111,,indicator,indicator,2,,,,Mental health screening: juvenile justice facilities,generator,GenerateIndicator;1111,synced
indicator_1116,,indicator,indicator,2,,,,Employment: persons with serious mental illness,generator,GenerateIndicator;1116,synced
indicator_1117,,indicator,indicator,2,,,,Treatment: adults with serious mental illness,generator,GenerateIndicator;1117,synced
indicator_1118,,indicator,indicator,2,,,,Treatment: adults with major depressive episode,generator,GenerateIndicator;1118,synced
indicator_1119,,indicator,indicator,2,,,,Treatment: adults substance abuse and mental disorders,generator,GenerateIndicator;1119,synced
indicator_1120,,indicator,indicator,2,,,,Depression screening by primary care providers: adults,generator,GenerateIndicator;1120,synced
indicator_1121,,indicator,indicator,2,,,,Depression screening by primary care providers: teens,generator,GenerateIndicator;1121,synced
indicator_1122,,indicator,indicator,2,,,,Major depressive episode: adults,generator,GenerateIndicator;1122,synced
indicator_1123,,indicator,indicator,2,,,,Major depressive episode: teens,generator,GenerateIndicator;1123,synced
indicator_1124,,indicator,indicator,2,,,,Deaths: children 1-4 years,generator,GenerateIndicator;1124,synced
indicator_1125,,indicator,indicator,2,,,,Deaths: children 5-9 years,generator,GenerateIndicator;1125,synced
indicator_1126,,indicator,indicator,2,,,,Deaths: children 10-14 years,generator,GenerateIndicator;1126,synced
indicator_1127,,indicator,indicator,2,,,,Deaths: teens 15-19 years,generator,GenerateIndicator;1127,synced
indicator_1128,,indicator,indicator,2,,,,Deaths: adults 20-24 years,generator,GenerateIndicator;1128,synced
indicator_1129,,indicator,indicator,2,,,,Maternal deaths,generator,GenerateIndicator;1129,synced
indicator_1130,,indicator,indicator,2,,,,Maternal illness and complications due to pregnancy,generator,GenerateIndicator;1130,synced
indicator_1131,,indicator,indicator,2,,,,"Prenatal care, first trimester",generator,GenerateIndicator;1131,synced
indicator_1132,,indicator,indicator,2,,,,"Prenatal care, early and adequate",generator,GenerateIndicator;1132,synced
indicator_1133,,indicator,indicator,2,,,,"Cesarean delivery, first",generator,GenerateIndicator;1133,synced
indicator_1134,,indicator,indicator,2,,,,"Cesarean delivery, repeat",generator,GenerateIndicator;1134,synced
indicator_1135,,indicator,indicator,2,,,,Low birth weight deliveries,generator,GenerateIndicator;1135,synced
indicator_1136,,indicator,indicator,2,,,,Very low birth weight deliveries,generator,GenerateIndicator;1136,synced
indicator_1137,,indicator,indicator,2,,,,"Preterm births, total",generator,GenerateIndicator;1137,synced
indicator_1138,,indicator,indicator,2,,,,"Preterm births, 34-36 weeks of gestation",generator,GenerateIndicator;1138,synced
indicator_1139,,indicator,indicator,2,,,,"Preterm births, 32-33 weeks of gestation",generator,GenerateIndicator;1139,synced
indicator_1140,,indicator,indicator,2,,,,"Preterm births, <32 weeks of gestation",generator,GenerateIndicator;1140,synced
indicator_1141,,indicator,indicator,2,,,,Infants put to sleep on their backs,generator,GenerateIndicator;1141,synced
indicator_1142,,indicator,indicator,2,,,,"Alcohol abstinence, prenatal",generator,GenerateIndicator;1142,synced
indicator_1143,,indicator,indicator,2,,,,"Binge drinking abstinence, prenatal",generator,GenerateIndicator;1143,synced
indicator_1144,,indicator,indicator,2,,,,"Cigarette abstinence, prenatal",generator,GenerateIndicator;1144,synced
indicator_1145,,indicator,indicator,2,,,,"Illicit drug abstinence, prenatal",generator,GenerateIndicator;1145,synced
indicator_1146,,indicator,indicator,2,,,,Fetal alcohol syndrome,generator,GenerateIndicator;1146,synced
indicator_1147,,indicator,indicator,2,,,,"Breastfeeding, ever",generator,GenerateIndicator;1147,synced
indicator_1148,,indicator,indicator,2,,,,"Breastfeeding, at 6 months",generator,GenerateIndicator;1148,synced
indicator_1149,,indicator,indicator,2,,,,"Breastfeeding, at 1 year",generator,GenerateIndicator;1149,synced
indicator_115,,indicator,indicator,2,,,,Pap test: women 18+ (percent),generator,GenerateIndicator;115,synced
indicator_1150,,indicator,indicator,2,,,,"Breastfeeding, exclusively through 3 months",generator,GenerateIndicator;1150,synced
indicator_1151,,indicator,indicator,2,,,,"Breastfeeding, exclusively through 6 months",generator,GenerateIndicator;1151,synced
indicator_1152,,indicator,indicator,2,,,,Medical home: children,generator,GenerateIndicator;1152,synced
indicator_1153,,indicator,indicator,2,,,,Medical home: children with special needs,generator,GenerateIndicator;1153,synced
indicator_1154,,indicator,indicator,2,,,,Comprehensive care systems: children with special needs,generator,GenerateIndicator;1154,synced
indicator_1155,,indicator,indicator,2,,,,Comprehensive care systems: teens with special needs,generator,GenerateIndicator;1155,synced
indicator_1156,,indicator,indicator,2,,,,Fetal deaths,generator,GenerateIndicator;1156,synced
indicator_1157,,indicator,indicator,2,,,,Perinatal deaths,generator,GenerateIndicator;1157,synced
indicator_1158,,indicator,indicator,2,,,,"Infant deaths, all",generator,GenerateIndicator;1158,synced
indicator_1159,,indicator,indicator,2,,,,Infant deaths within first 28 days of life,generator,GenerateIndicator;1159,synced
indicator_116,,indicator,indicator,2,,,,Mammogram: women 50+ (percent) (Source: BRFSS),generator,GenerateIndicator;116,synced
indicator_1160,,indicator,indicator,2,,,,Infant deaths between 28 days-1 year,generator,GenerateIndicator;1160,synced
indicator_1161,,indicator,indicator,2,,,,Infant deaths due to birth defects,generator,GenerateIndicator;1161,synced
indicator_1162,,indicator,indicator,2,,,,Infant deaths: congenital heart defects,generator,GenerateIndicator;1162,synced
indicator_1163,,indicator,indicator,2,,,,Infant deaths: sudden infant death syndrome,generator,GenerateIndicator;1163,synced
indicator_1164,,indicator,indicator,2,,,,Infant deaths: sudden unexpected/unexplained causes,generator,GenerateIndicator;1164,synced
indicator_1167,,indicator,indicator,2,,,,Disorders diagnosed through newborn blood spot screening,generator,GenerateIndicator;1167,synced
indicator_1168,,indicator,indicator,2,,,,Low birth weight: children with cerebral palsy,generator,GenerateIndicator;1168,synced
indicator_1169,,indicator,indicator,2,,,,Spina bifida,generator,GenerateIndicator;1169,synced
indicator_117,,indicator,indicator,2,,,,Colonoscopy/sigmoidoscopy: adults 50+ (percent),generator,GenerateIndicator;117,synced
indicator_1170,,indicator,indicator,2,,,,Anencephaly,generator,GenerateIndicator;1170,synced
