"table","column","datatype","transform"
"brfss_county","_casthm1","int","^dot_to_none"
"brfss_county","_asthms1","int","^dot_to_none"
"brfss_county","_drdxar1","int","^dot_to_none"
"brfss_county","_exteth2","int","^dot_to_none"
"brfss_county","_alteth2","int","^dot_to_none"
"brfss_county","_denvst2","int","^dot_to_none"
"brfss_county","_prace","int","^dot_to_none"
"brfss_county","_mrace","int","^dot_to_none"
"brfss_county","race2","int","^dot_to_none"
"brfss_county","_raceg2","int","^dot_to_none"
"brfss_county","_racegr2","int","^dot_to_none"
"brfss_county","_race_g","int","^dot_to_none"
"brfss_county","_ageg5yr","int","^dot_to_none"
"brfss_county","_age65yr","int","^dot_to_none"
"brfss_county","_age_g","int","^dot_to_none"
"brfss_county","htin4","int","^dot_to_none"
"brfss_county","htm4","int","^dot_to_none"
"brfss_county","wtkg3","int","^dot_to_none"
"brfss_county","_bmi5","int","^dot_to_none"
"brfss_county","_bmi5cat","int","^dot_to_none"
"brfss_county","_rfbmi5","int","^dot_to_none"
"brfss_county","_chldcnt","int","^dot_to_none"
"brfss_county","_educag","int","^dot_to_none"
"brfss_county","_incomg","int","^dot_to_none"
"brfss_county","_smoker3","int","^dot_to_none"
"brfss_county","_rfsmok3","int","^dot_to_none"
"brfss_county","drnkany5","int","^dot_to_none"
"brfss_county","drocdy3","int","^dot_to_none"
"brfss_county","_rfbing5","int","^dot_to_none"
"brfss_county","_drnkdy4","int","^dot_to_none"
"brfss_county","_drnkmo4","int","^dot_to_none"
"brfss_county","_rfdrhv4","int","^dot_to_none"
"brfss_county","_rfdrmn4","int","^dot_to_none"
"brfss_county","_rfdrwm4","int","^dot_to_none"
"brfss_county","_flshot5","int","^dot_to_none"
"brfss_county","_pneumo2","int","^dot_to_none"
"brfss_county","_rfseat2","int","^dot_to_none"
"brfss_county","_rfseat3","int","^dot_to_none"
"brfss_county","_rfmam2y","int","^dot_to_none"
"brfss_county","_mam502y","int","^dot_to_none"
"brfss_county","_rfpap32","int","^dot_to_none"
"brfss_county","_rfpsa21","int","^dot_to_none"
"brfss_county","_rfblds2","int","^dot_to_none"
"brfss_county","_rfsigm2","int","^dot_to_none"
"brfss_county","_aidtst3","int","^dot_to_none"
"brfss_county","_cntywt","float",
"brfss_county","cntyname","str",
"brfss_county","_cnty","int","^dot_to_none"
