table,datatype,caster,column,description
geofile314,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile314,int,,metdiv,Metropolitan Statistical Area- Metropolitan Division
geofile314,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile314,str,,geoid,Geographic Identifier
geofile314,str,,name,Area Name
,,,,
geofile313,int,,id,Geofile for: CBSA-State-County
geofile313,str,,fileid,Always equal to ACS Summary File identification
geofile313,str,,stusab,State Postal Abbreviation
geofile313,int,,sumlevel,Summary Level
geofile313,str,,component,Geographic Component
geofile313,int,,logrecno,Logical Record Number
geofile313,int,,state,State (FIPS Code)
geofile313,int,,county,County of current residence
geofile313,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile313,str,,geoid,Geographic Identifier
geofile313,str,,name,Area Name
,,,,
geofile355,int,,id,Geofile for: New England City and Town Area (NECTA)-NECTA Division
geofile355,str,,fileid,Always equal to ACS Summary File identification
geofile355,str,,stusab,State Postal Abbreviation
geofile355,int,,sumlevel,Summary Level
geofile355,str,,component,Geographic Component
geofile355,int,,logrecno,Logical Record Number
geofile355,int,,necta,New England City and Town Area
geofile355,int,,nectadiv,New England City and Town Area Division
geofile355,str,,geoid,Geographic Identifier
geofile355,str,,name,Area Name
,,,,
geofile363,int,,id,Geofile for: State-New England City and Town Area-County-County Subdivision
geofile363,str,,fileid,Always equal to ACS Summary File identification
geofile363,str,,stusab,State Postal Abbreviation
geofile363,int,,sumlevel,Summary Level
geofile363,str,,component,Geographic Component
geofile363,int,,logrecno,Logical Record Number
geofile363,int,,state,State (FIPS Code)
geofile363,int,,county,County of current residence
geofile363,int,,cousub,County Subdivision (FIPS)
geofile363,int,,necta,New England City and Town Area
geofile363,str,,geoid,Geographic Identifier
geofile363,str,,name,Area Name
,,,,
geofile316,int,,id,Geofile for: Metropolitan Statistical Area/Metropolitan Division-State-County
geofile316,str,,fileid,Always equal to ACS Summary File identification
geofile316,str,,stusab,State Postal Abbreviation
geofile316,int,,sumlevel,Summary Level
geofile316,str,,component,Geographic Component
geofile316,int,,logrecno,Logical Record Number
geofile316,int,,state,State (FIPS Code)
geofile316,int,,county,County of current residence
geofile316,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile316,int,,metdiv,Metropolitan Statistical Area- Metropolitan Division
geofile316,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile316,str,,geoid,Geographic Identifier
geofile316,str,,name,Area Name
,,,,
geofile280,int,,id,Geofile for: State-American Indian Area/Alaska Native Area/Hawaiian Home Land
geofile280,str,,fileid,Always equal to ACS Summary File identification
geofile280,str,,stusab,State Postal Abbreviation
geofile280,int,,sumlevel,Summary Level
geofile280,str,,component,Geographic Component
geofile280,int,,logrecno,Logical Record Number
geofile280,int,,state,State (FIPS Code)
geofile280,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile280,str,,geoid,Geographic Identifier
geofile280,str,,name,Area Name
,,,,
geofile269,int,,id,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land-Place-Remainder
geofile269,str,,fileid,Always equal to ACS Summary File identification
geofile269,str,,stusab,State Postal Abbreviation
geofile269,int,,sumlevel,Summary Level
geofile269,str,,component,Geographic Component
geofile269,int,,logrecno,Logical Record Number
geofile269,int,,state,State (FIPS Code)
geofile269,int,,place,Place (FIPS Code)
geofile269,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile269,str,,geoid,Geographic Identifier
geofile269,str,,name,Area Name
,,,,
geofile321,int,,id,Geofile for: State- CBSA -Principal City
geofile321,str,,fileid,Always equal to ACS Summary File identification
geofile321,str,,stusab,State Postal Abbreviation
geofile321,int,,sumlevel,Summary Level
geofile321,str,,component,Geographic Component
geofile321,int,,logrecno,Logical Record Number
geofile321,int,,state,State (FIPS Code)
geofile321,int,,place,Place (FIPS Code)
geofile321,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile321,str,,pci,Principal City Indicator
geofile321,str,,geoid,Geographic Identifier
geofile321,str,,name,Area Name
,,,,
geofile10,int,,id,Geofile for: United States
geofile10,str,,fileid,Always equal to ACS Summary File identification
geofile10,str,,stusab,State Postal Abbreviation
geofile10,int,,sumlevel,Summary Level
geofile10,str,,component,Geographic Component
geofile10,int,,logrecno,Logical Record Number
geofile10,int,,us,US
geofile10,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile10,str,,ur,Urban/Rural
geofile10,str,,pci,Principal City Indicator
geofile10,str,,geoid,Geographic Identifier
geofile10,str,,name,Area Name
,,,,
geofile346,int,,id,Geofile for: State-Combined New England City and Town Area-New England City and Town Area
geofile346,str,,fileid,Always equal to ACS Summary File identification
geofile346,str,,stusab,State Postal Abbreviation
geofile346,int,,sumlevel,Summary Level
geofile346,str,,component,Geographic Component
geofile346,int,,logrecno,Logical Record Number
geofile346,int,,state,State (FIPS Code)
geofile346,int,,necta,New England City and Town Area
geofile346,int,,cnecta,New England City and Town Combined Statistical Area
geofile346,str,,geoid,Geographic Identifier
geofile346,str,,name,Area Name
,,,,
geofile345,int,,id,Geofile for: State-Combined New England City and Town Area
geofile345,str,,fileid,Always equal to ACS Summary File identification
geofile345,str,,stusab,State Postal Abbreviation
geofile345,int,,sumlevel,Summary Level
geofile345,str,,component,Geographic Component
geofile345,int,,logrecno,Logical Record Number
geofile345,int,,state,State (FIPS Code)
geofile345,int,,cnecta,New England City and Town Combined Statistical Area
geofile345,str,,geoid,Geographic Identifier
geofile345,str,,name,Area Name
,,,,
geofile356,int,,id,Geofile for: New England City and Town Area (NECTA)-NECTA Division-State
geofile356,str,,fileid,Always equal to ACS Summary File identification
geofile356,str,,stusab,State Postal Abbreviation
geofile356,int,,sumlevel,Summary Level
geofile356,str,,component,Geographic Component
geofile356,int,,logrecno,Logical Record Number
geofile356,int,,state,State (FIPS Code)
geofile356,int,,necta,New England City and Town Area
geofile356,int,,nectadiv,New England City and Town Area Division
geofile356,str,,geoid,Geographic Identifier
geofile356,str,,name,Area Name
,,,,
geofile286,int,,id,Geofile for: State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land
geofile286,str,,fileid,Always equal to ACS Summary File identification
geofile286,str,,stusab,State Postal Abbreviation
geofile286,int,,sumlevel,Summary Level
geofile286,str,,component,Geographic Component
geofile286,int,,logrecno,Logical Record Number
geofile286,int,,state,State (FIPS Code)
geofile286,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile286,str,,aihhtli,American Indian Trust Land/ Hawaiian Home Land Indicator
geofile286,str,,geoid,Geographic Identifier
geofile286,str,,name,Area Name
,,,,
geofile364,int,,id,Geofile for: State-New England City and Town Area (NECTA)-NECTA Division
geofile364,str,,fileid,Always equal to ACS Summary File identification
geofile364,str,,stusab,State Postal Abbreviation
geofile364,int,,sumlevel,Summary Level
geofile364,str,,component,Geographic Component
geofile364,int,,logrecno,Logical Record Number
geofile364,int,,state,State (FIPS Code)
geofile364,int,,necta,New England City and Town Area
geofile364,int,,nectadiv,New England City and Town Area Division
geofile364,str,,geoid,Geographic Identifier
geofile364,str,,name,Area Name
,,,,
geofile155,int,,id,Geofile for: Place-County
geofile155,str,,fileid,Always equal to ACS Summary File identification
geofile155,str,,stusab,State Postal Abbreviation
geofile155,int,,sumlevel,Summary Level
geofile155,str,,component,Geographic Component
geofile155,int,,logrecno,Logical Record Number
geofile155,int,,state,State (FIPS Code)
geofile155,int,,county,County of current residence
geofile155,int,,place,Place (FIPS Code)
geofile155,str,,geoid,Geographic Identifier
geofile155,str,,name,Area Name
,,,,
geofile140,int,,id,Geofile for: Census Tract
geofile140,str,,fileid,Always equal to ACS Summary File identification
geofile140,str,,stusab,State Postal Abbreviation
geofile140,int,,sumlevel,Summary Level
geofile140,str,,component,Geographic Component
geofile140,int,,logrecno,Logical Record Number
geofile140,int,,state,State (FIPS Code)
geofile140,int,,county,County of current residence
geofile140,int,,tract,Census Tract
geofile140,str,,geoid,Geographic Identifier
geofile140,str,,name,Area Name
,,,,
geofile50,int,,id,Geofile for: County
geofile50,str,,fileid,Always equal to ACS Summary File identification
geofile50,str,,stusab,State Postal Abbreviation
geofile50,int,,sumlevel,Summary Level
geofile50,str,,component,Geographic Component
geofile50,int,,logrecno,Logical Record Number
geofile50,int,,state,State (FIPS Code)
geofile50,int,,county,County of current residence
geofile50,str,,geoid,Geographic Identifier
geofile50,str,,name,Area Name
,,,,
geofile312,int,,id,Geofile for: CBSA-State-Principal City
geofile312,str,,fileid,Always equal to ACS Summary File identification
geofile312,str,,stusab,State Postal Abbreviation
geofile312,int,,sumlevel,Summary Level
geofile312,str,,component,Geographic Component
geofile312,int,,logrecno,Logical Record Number
geofile312,int,,state,State (FIPS Code)
geofile312,int,,place,Place (FIPS Code)
geofile312,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile312,str,,pci,Principal City Indicator
geofile312,str,,geoid,Geographic Identifier
geofile312,str,,name,Area Name
,,,,
geofile270,int,,id,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land-State-County
geofile270,str,,fileid,Always equal to ACS Summary File identification
geofile270,str,,stusab,State Postal Abbreviation
geofile270,int,,sumlevel,Summary Level
geofile270,str,,component,Geographic Component
geofile270,int,,logrecno,Logical Record Number
geofile270,int,,state,State (FIPS Code)
geofile270,int,,county,County of current residence
geofile270,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile270,str,,geoid,Geographic Identifier
geofile270,str,,name,Area Name
,,,,
geofile172,int,,id,Geofile for: Consolidated City-Place Within Consolidated City
geofile172,str,,fileid,Always equal to ACS Summary File identification
geofile172,str,,stusab,State Postal Abbreviation
geofile172,int,,sumlevel,Summary Level
geofile172,str,,component,Geographic Component
geofile172,int,,logrecno,Logical Record Number
geofile172,int,,state,State (FIPS Code)
geofile172,int,,place,Place (FIPS Code)
geofile172,int,,concit,Consolidated City
geofile172,str,,geoid,Geographic Identifier
geofile172,str,,name,Area Name
,,,,
geofile251,int,,id,Geofile for: American Indian Area/Alaska NativeArea/HawaiianHomeLand-Tribal Subdivision/Remainder
geofile251,str,,fileid,Always equal to ACS Summary File identification
geofile251,str,,stusab,State Postal Abbreviation
geofile251,int,,sumlevel,Summary Level
geofile251,str,,component,Geographic Component
geofile251,int,,logrecno,Logical Record Number
geofile251,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile251,int,,aitsce,American Indian Tribal Subdivision (Census)
geofile251,str,,geoid,Geographic Identifier
geofile251,str,,name,Area Name
,,,,
geofile254,int,,id,Geofile for: American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land
geofile254,str,,fileid,Always equal to ACS Summary File identification
geofile254,str,,stusab,State Postal Abbreviation
geofile254,int,,sumlevel,Summary Level
geofile254,str,,component,Geographic Component
geofile254,int,,logrecno,Logical Record Number
geofile254,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile254,str,,aihhtli,American Indian Trust Land/ Hawaiian Home Land Indicator
geofile254,str,,geoid,Geographic Identifier
geofile254,str,,name,Area Name
,,,,
geofile60,int,,id,Geofile for: County Subdivision
geofile60,str,,fileid,Always equal to ACS Summary File identification
geofile60,str,,stusab,State Postal Abbreviation
geofile60,int,,sumlevel,Summary Level
geofile60,str,,component,Geographic Component
geofile60,int,,logrecno,Logical Record Number
geofile60,int,,state,State (FIPS Code)
geofile60,int,,county,County of current residence
geofile60,int,,cousub,County Subdivision (FIPS)
geofile60,str,,geoid,Geographic Identifier
geofile60,str,,name,Area Name
,,,,
geofile30,int,,id,Geofile for: Division
geofile30,str,,fileid,Always equal to ACS Summary File identification
geofile30,str,,stusab,State Postal Abbreviation
geofile30,int,,sumlevel,Summary Level
geofile30,str,,component,Geographic Component
geofile30,int,,logrecno,Logical Record Number
geofile30,int,,division,Census Division
geofile30,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile30,str,,ur,Urban/Rural
geofile30,str,,pci,Principal City Indicator
geofile30,str,,geoid,Geographic Identifier
geofile30,str,,name,Area Name
,,,,
geofile960,int,,id,Geofile for: State-High School District
geofile960,str,,fileid,Always equal to ACS Summary File identification
geofile960,str,,stusab,State Postal Abbreviation
geofile960,int,,sumlevel,Summary Level
geofile960,str,,component,Geographic Component
geofile960,int,,logrecno,Logical Record Number
geofile960,int,,state,State (FIPS Code)
geofile960,str,,sdsec,State-School District (Secondary)
geofile960,str,,geoid,Geographic Identifier
geofile960,str,,name,Area Name
,,,,
geofile335,int,,id,Geofile for: Combined New England City and Town Area
geofile335,str,,fileid,Always equal to ACS Summary File identification
geofile335,str,,stusab,State Postal Abbreviation
geofile335,int,,sumlevel,Summary Level
geofile335,str,,component,Geographic Component
geofile335,int,,logrecno,Logical Record Number
geofile335,int,,cnecta,New England City and Town Combined Statistical Area
geofile335,str,,geoid,Geographic Identifier
geofile335,str,,name,Area Name
,,,,
geofile230,int,,id,Geofile for: State-Alaska Native Regional Corporation
geofile230,str,,fileid,Always equal to ACS Summary File identification
geofile230,str,,stusab,State Postal Abbreviation
geofile230,int,,sumlevel,Summary Level
geofile230,str,,component,Geographic Component
geofile230,int,,logrecno,Logical Record Number
geofile230,int,,state,State (FIPS Code)
geofile230,int,,anrc,Alaska Native Regional Corporation (FIPS)
geofile230,str,,geoid,Geographic Identifier
geofile230,str,,name,Area Name
,,,,
geofile160,int,,id,Geofile for: Place
geofile160,str,,fileid,Always equal to ACS Summary File identification
geofile160,str,,stusab,State Postal Abbreviation
geofile160,int,,sumlevel,Summary Level
geofile160,str,,component,Geographic Component
geofile160,int,,logrecno,Logical Record Number
geofile160,int,,state,State (FIPS Code)
geofile160,int,,place,Place (FIPS Code)
geofile160,str,,geoid,Geographic Identifier
geofile160,str,,name,Area Name
,,,,
geofile311,int,,id,Geofile for: CBSA-State-County
geofile311,str,,fileid,Always equal to ACS Summary File identification
geofile311,str,,stusab,State Postal Abbreviation
geofile311,int,,sumlevel,Summary Level
geofile311,str,,component,Geographic Component
geofile311,int,,logrecno,Logical Record Number
geofile311,int,,state,State (FIPS Code)
geofile311,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile311,str,,geoid,Geographic Identifier
geofile311,str,,name,Area Name
,,,,
geofile950,int,,id,Geofile for: State-Elementary School District
geofile950,str,,fileid,Always equal to ACS Summary File identification
geofile950,str,,stusab,State Postal Abbreviation
geofile950,int,,sumlevel,Summary Level
geofile950,str,,component,Geographic Component
geofile950,int,,logrecno,Logical Record Number
geofile950,int,,state,State (FIPS Code)
geofile950,str,,sdelm,State-School District (Elementary)
geofile950,str,,geoid,Geographic Identifier
geofile950,str,,name,Area Name
,,,,
geofile366,int,,id,Geofile for: State-New England City and Town Area (NECTA)-NECTA Division-County-County Subdivision
geofile366,str,,fileid,Always equal to ACS Summary File identification
geofile366,str,,stusab,State Postal Abbreviation
geofile366,int,,sumlevel,Summary Level
geofile366,str,,component,Geographic Component
geofile366,int,,logrecno,Logical Record Number
geofile366,int,,state,State (FIPS Code)
geofile366,int,,county,County of current residence
geofile366,int,,cousub,County Subdivision (FIPS)
geofile366,int,,necta,New England City and Town Area
geofile366,int,,nectadiv,New England City and Town Area Division
geofile366,str,,geoid,Geographic Identifier
geofile366,str,,name,Area Name
,,,,
geofile290,int,,id,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land-Tribal Subdivision/Remainder-State
geofile290,str,,fileid,Always equal to ACS Summary File identification
geofile290,str,,stusab,State Postal Abbreviation
geofile290,int,,sumlevel,Summary Level
geofile290,str,,component,Geographic Component
geofile290,int,,logrecno,Logical Record Number
geofile290,int,,state,State (FIPS Code)
geofile290,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile290,int,,aitsce,American Indian Tribal Subdivision (Census)
geofile290,str,,geoid,Geographic Identifier
geofile290,str,,name,Area Name
,,,,
geofile260,int,,id,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land-State
geofile260,str,,fileid,Always equal to ACS Summary File identification
geofile260,str,,stusab,State Postal Abbreviation
geofile260,int,,sumlevel,Summary Level
geofile260,str,,component,Geographic Component
geofile260,int,,logrecno,Logical Record Number
geofile260,int,,state,State (FIPS Code)
geofile260,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile260,str,,geoid,Geographic Identifier
geofile260,str,,name,Area Name
,,,,
geofile970,int,,id,Geofile for: State-Unified School District
geofile970,str,,fileid,Always equal to ACS Summary File identification
geofile970,str,,stusab,State Postal Abbreviation
geofile970,int,,sumlevel,Summary Level
geofile970,str,,component,Geographic Component
geofile970,int,,logrecno,Logical Record Number
geofile970,int,,state,State (FIPS Code)
geofile970,str,,sduni,State-School District (Unified)
geofile970,str,,geoid,Geographic Identifier
geofile970,str,,name,Area Name
,,,,
geofile283,int,,id,Geofile for: State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)
geofile283,str,,fileid,Always equal to ACS Summary File identification
geofile283,str,,stusab,State Postal Abbreviation
geofile283,int,,sumlevel,Summary Level
geofile283,str,,component,Geographic Component
geofile283,int,,logrecno,Logical Record Number
geofile283,int,,state,State (FIPS Code)
geofile283,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile283,str,,aihhtli,American Indian Trust Land/ Hawaiian Home Land Indicator
geofile283,str,,geoid,Geographic Identifier
geofile283,str,,name,Area Name
,,,,
geofile354,int,,id,Geofile for: New England City and Town Area-State-County-County Subdivision
geofile354,str,,fileid,Always equal to ACS Summary File identification
geofile354,str,,stusab,State Postal Abbreviation
geofile354,int,,sumlevel,Summary Level
geofile354,str,,component,Geographic Component
geofile354,int,,logrecno,Logical Record Number
geofile354,int,,state,State (FIPS Code)
geofile354,int,,county,County of current residence
geofile354,int,,cousub,County Subdivision (FIPS)
geofile354,int,,necta,New England City and Town Area
geofile354,str,,geoid,Geographic Identifier
geofile354,str,,name,Area Name
,,,,
geofile357,int,,id,Geofile for: New England City and Town Area (NECTA)-NECTA Division-State-County
geofile357,str,,fileid,Always equal to ACS Summary File identification
geofile357,str,,stusab,State Postal Abbreviation
geofile357,int,,sumlevel,Summary Level
geofile357,str,,component,Geographic Component
geofile357,int,,logrecno,Logical Record Number
geofile357,int,,state,State (FIPS Code)
geofile357,int,,county,County of current residence
geofile357,int,,necta,New England City and Town Area
geofile357,int,,nectadiv,New England City and Town Area Division
geofile357,str,,geoid,Geographic Identifier
geofile357,str,,name,Area Name
,,,,
geofile331,int,,id,Geofile for: Combined Statistical Area-State
geofile331,str,,fileid,Always equal to ACS Summary File identification
geofile331,str,,stusab,State Postal Abbreviation
geofile331,int,,sumlevel,Summary Level
geofile331,str,,component,Geographic Component
geofile331,int,,logrecno,Logical Record Number
geofile331,int,,state,State (FIPS Code)
geofile331,int,,csa,Combined Statistical Area
geofile331,str,,geoid,Geographic Identifier
geofile331,str,,name,Area Name
,,,,
geofile150,int,,id,Geofile for: Census Tract-Block Group
geofile150,str,,fileid,Always equal to ACS Summary File identification
geofile150,str,,stusab,State Postal Abbreviation
geofile150,int,,sumlevel,Summary Level
geofile150,str,,component,Geographic Component
geofile150,int,,logrecno,Logical Record Number
geofile150,int,,state,State (FIPS Code)
geofile150,int,,county,County of current residence
geofile150,int,,tract,Census Tract
geofile150,int,,blkgrp,Block Group
geofile150,str,,geoid,Geographic Identifier
geofile150,str,,name,Area Name
,,,,
geofile341,int,,id,Geofile for: State-Combined Statistical Area-CBSA
geofile341,str,,fileid,Always equal to ACS Summary File identification
geofile341,str,,stusab,State Postal Abbreviation
geofile341,int,,sumlevel,Summary Level
geofile341,str,,component,Geographic Component
geofile341,int,,logrecno,Logical Record Number
geofile341,int,,state,State (FIPS Code)
geofile341,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile341,int,,csa,Combined Statistical Area
geofile341,str,,geoid,Geographic Identifier
geofile341,str,,name,Area Name
,,,,
geofile320,int,,id,Geofile for: State- CBSA
geofile320,str,,fileid,Always equal to ACS Summary File identification
geofile320,str,,stusab,State Postal Abbreviation
geofile320,int,,sumlevel,Summary Level
geofile320,str,,component,Geographic Component
geofile320,int,,logrecno,Logical Record Number
geofile320,int,,state,State (FIPS Code)
geofile320,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile320,str,,geoid,Geographic Identifier
geofile320,str,,name,Area Name
,,,,
geofile358,int,,id,Geofile for: New England City and Town Area (NECTA)-NECTA Division-State-County-County Subdivision
geofile358,str,,fileid,Always equal to ACS Summary File identification
geofile358,str,,stusab,State Postal Abbreviation
geofile358,int,,sumlevel,Summary Level
geofile358,str,,component,Geographic Component
geofile358,int,,logrecno,Logical Record Number
geofile358,int,,state,State (FIPS Code)
geofile358,int,,county,County of current residence
geofile358,int,,cousub,County Subdivision (FIPS)
geofile358,int,,necta,New England City and Town Area
geofile358,int,,nectadiv,New England City and Town Area Division
geofile358,str,,geoid,Geographic Identifier
geofile358,str,,name,Area Name
,,,,
geofile70,int,,id,Geofile for: County Subdivision-Place/Remainder
geofile70,str,,fileid,Always equal to ACS Summary File identification
geofile70,str,,stusab,State Postal Abbreviation
geofile70,int,,sumlevel,Summary Level
geofile70,str,,component,Geographic Component
geofile70,int,,logrecno,Logical Record Number
geofile70,int,,state,State (FIPS Code)
geofile70,int,,county,County of current residence
geofile70,int,,cousub,County Subdivision (FIPS)
geofile70,int,,place,Place (FIPS Code)
geofile70,str,,geoid,Geographic Identifier
geofile70,str,,name,Area Name
,,,,
geofile500,int,,id,Geofile for: Congressional District
geofile500,str,,fileid,Always equal to ACS Summary File identification
geofile500,str,,stusab,State Postal Abbreviation
geofile500,int,,sumlevel,Summary Level
geofile500,str,,component,Geographic Component
geofile500,int,,logrecno,Logical Record Number
geofile500,int,,state,State (FIPS Code)
geofile500,int,,cdcurr,Current Congressional District ***
geofile500,str,,geoid,Geographic Identifier
geofile500,str,,name,Area Name
,,,,
geofile400,int,,id,Geofile for: Urban Area
geofile400,str,,fileid,Always equal to ACS Summary File identification
geofile400,str,,stusab,State Postal Abbreviation
geofile400,int,,sumlevel,Summary Level
geofile400,str,,component,Geographic Component
geofile400,int,,logrecno,Logical Record Number
geofile400,int,,ua,Urban Area
geofile400,str,,geoid,Geographic Identifier
geofile400,str,,name,Area Name
,,,,
geofile365,int,,id,Geofile for: State-New England City and Town Area (NECTA)-NECTA Division-County
geofile365,str,,fileid,Always equal to ACS Summary File identification
geofile365,str,,stusab,State Postal Abbreviation
geofile365,int,,sumlevel,Summary Level
geofile365,str,,component,Geographic Component
geofile365,int,,logrecno,Logical Record Number
geofile365,int,,state,State (FIPS Code)
geofile365,int,,county,County of current residence
geofile365,int,,necta,New England City and Town Area
geofile365,int,,nectadiv,New England City and Town Area Division
geofile365,str,,geoid,Geographic Identifier
geofile365,str,,name,Area Name
,,,,
geofile361,int,,id,Geofile for: State-New England City and Town Area-Principal City
geofile361,str,,fileid,Always equal to ACS Summary File identification
geofile361,str,,stusab,State Postal Abbreviation
geofile361,int,,sumlevel,Summary Level
geofile361,str,,component,Geographic Component
geofile361,int,,logrecno,Logical Record Number
geofile361,int,,state,State (FIPS Code)
geofile361,int,,place,Place (FIPS Code)
geofile361,int,,necta,New England City and Town Area
geofile361,str,,geoid,Geographic Identifier
geofile361,str,,name,Area Name
,,,,
