table,sequence_id,column,datatype,description
other,21,acute_stroke_death_rate_denominator,int,Acute Stroke Death Rate Denominator
other,22,acute_stroke_death_rate_score,float,Acute Stroke Death Rate Score [%]
other,23,acute_stroke_death_rate_rating,str,Acute Stroke Death Rate Rating
other,24,craniotomy_death_rate_denominator,int,Craniotomy Death Rate Denominator
other,25,craniotomy_death_rate_score,float,Craniotomy Death Rate Score [%]
other,26,craniotomy_death_rate_rating,str,Craniotomy Death Rate Rating
other,27,gastrointestinal_hemorrhage_death_rate_denominator,int,Gastrointestinal Hemorrhage Death Rate Denominator
other,28,gastrointestinal_hemorrhage_death_rate_score,float,Gastrointestinal Hemorrhage Death Rate Score [%]
other,29,gastrointestinal_hemorrhage_death_rate_rating,str,Gastrointestinal Hemorrhage Death Rate Rating
other,30,hip_fracture_death_rate_denominator,int,Hip Fracture Death Rate Denominator
other,31,hip_fracture_death_rate_score,float,Hip Fracture Death Rate Score [%]
other,32,hip_fracture_death_rate_rating,str,Hip Fracture Death Rate Rating
other,33,hip_or_knee_surgery_readmission_rate_denominator,int,Hip or Knee Surgery Readmission Rate Denominator
other,34,hip_or_knee_surgery_readmission_rate_score,float,Hip or Knee Surgery Readmission Rate Score [%]
other,35,hip_or_knee_surgery_readmission_rate_rating,str,Hip or Knee Surgery Readmission Rate Rating
other,36,hip_or_knee_surgery_complication_rate_denominator,int,Hip or Knee Surgery Complication Rate Denominator
other,37,hip_or_knee_surgery_complication_rate_score,float,Hip or Knee Surgery Complication Rate Score [%]
other,38,hip_or_knee_surgery_complication_rate_rating,str,Hip or Knee Surgery Complication Rate Rating
,,,,
perf_sum,1,id,int,
perf_sum,2,oshpd_id,int,OSHPD_ID
perf_sum,3,medicare_id,int,MEDICARE_ID
perf_sum,4,hospital_name,str,HOSPITAL NAME
perf_sum,5,patient_experience_hospital_rating,str,Patient Experience Hospital Rating
perf_sum,6,re_hosp_italizations_hospitalwide_readmission_rate,str,Re-hosp italizations Hospitalwide Readmission Rate
perf_sum,7,patient_safety_surgical_care_measures_composite,str,Patient Safety Surgical Care Measures Composite
perf_sum,8,patient_safety_unplanned_surgical_wound_reopening,str,Patient Safety Unplanned Surgical Wound Reopening
perf_sum,9,patient_safety_death_after_serious_treatable_complication,str,Patient Safety Death after Serious Treatable Complication
perf_sum,10,patient_safety_accidental_lung_puncture,str,Patient Safety Accidental Lung Puncture
perf_sum,11,heart_attack_death_rate,str,Heart Attack Death Rate
perf_sum,12,heart_attack_quality_of_care_composite,str,Heart Attack Quality of Care Composite
perf_sum,13,heart_attack_timeliness_of_care_composite,str,Heart Attack Timeliness of care Composite
perf_sum,14,heart_attack_readmission_rate,str,Heart Attack Readmission Rate
perf_sum,15,heart_bypass_surgery_death_rate,str,Heart Bypass Surgery Death Rate
perf_sum,16,heart_bypass_surgery_internal_mammary_artery_usage_rate,str,Heart Bypass Surgery Internal Mammary Artery Usage Rate
perf_sum,17,heart_bypass_surgery_postoperative_stroke_rate,str,Heart Bypass Surgery Postoperative Stroke Rate
perf_sum,18,heart_failure_death_rate,str,Heart Failure Death Rate
perf_sum,19,heart_failure_quality_of_care,str,Heart Failure Quality of Care
perf_sum,20,heart_failure_readmission_rate,str,Heart Failure Readmission Rate
perf_sum,21,mother_baby_ntsv_c_section_rate,str,Mother & Baby NTSV C-Section Rate
perf_sum,22,mother_baby_breastfeeding_rate,str,Mother & Baby Breastfeeding Rate
perf_sum,23,mother_baby_episiotomy_rate,str,Mother & Baby Episiotomy Rate
perf_sum,24,mother_baby_vbac_routinely_available,str,Mother & Baby VBAC Routinely Available
perf_sum,25,lung_conditions_death_rate,str,Lung Conditions Death Rate
perf_sum,26,lung_conditions_quality_of_care_composite,str,Lung Conditions Quality of Care Composite
perf_sum,27,lung_conditions_readmission_rate,str,Lung Conditions Readmission Rate
perf_sum,28,surgeries_other_conditions_abdominal_aortic_aneurysm_repair_number_of_cases,str,Surgeries/Other Conditions Abdominal Aortic Aneurysm Repair - Number of Cases
perf_sum,29,surgeries_other_conditions_esophageal_resection_number_of_cases,str,Surgeries/Other Conditions Esophageal Resection - Number of Cases
perf_sum,30,surgeries_other_conditions_pancreatic_resection_number_of_cases,str,Surgeries/Other Conditions Pancreatic Resection - Number of Cases
perf_sum,31,surgeries_other_conditions_percutaneous_coronary_intervention_pci_number_of_cases,str,Surgeries/Other Conditions Percutaneous coronary intervention (PCI) - Number of Cases
perf_sum,32,surgeries_other_conditions_acute_stroke_mortality,str,Surgeries/Other Conditions Acute Stroke - Mortality
perf_sum,33,surgeries_other_conditions_craniotomy_mortality_rate,str,Surgeries/Other Conditions Craniotomy - Mortality Rate
perf_sum,34,surgeries_other_conditions_gastrointestinal_hemorrhage_mortality_rate,str,Surgeries/Other Conditions Gastrointestinal Hemorrhage - Mortality Rate
perf_sum,35,surgeries_other_conditions_hip_fracture_mortality_rate,str,Surgeries/Other Conditions Hip Fracture Mortality Rate
perf_sum,36,surgeries_other_conditions_hip_or_knee_surgery_readmission_rate,str,Surgeries/Other Conditions Hip or Knee Surgery Readmission Rate
perf_sum,37,surgeries_other_conditions_hip_or_knee_surgery_complication_rate,str,Surgeries/Other Conditions Hip or Knee Surgery Complication Rate
,,,,
readmissions,1,id,int,
readmissions,2,oshpd_id,int,OSHPD_ID
readmissions,3,medicare_id,int,MEDICARE_ID
readmissions,4,hospital_name,str,HOSPITAL NAME
readmissions,5,hospitalwide_readmission_rate_denominator,int,Hospitalwide Readmission Rate Denominator
readmissions,6,hospitalwide_readmission_rate_score,float,Hospitalwide Readmission Rate Score [%]
readmissions,7,hospitalwide_readmission_rate_rating,str,Hospitalwide Readmission Rate Rating
,,,,
safety,1,id,int,
safety,2,oshpd_id,int,OSHPD_ID
safety,3,medicare_id,int,MEDICARE_ID
safety,4,hospital_name,str,HOSPITAL NAME
safety,5,surgical_care_measures_composite_score,int,Surgical Care Measures Composite Score [%]
safety,6,surgical_care_measures_composite_rating,str,Surgical Care Measures Composite Rating
safety,7,appropriate_timing_of_antibiotic_denominator,int,Appropriate timing of antibiotic Denominator
safety,8,appropriate_timing_of_antibiotic_score,int,Appropriate timing of antibiotic Score [%]
safety,9,use_of_appropriate_antibiotic_denominator,int,Use of appropriate antibiotic Denominator
safety,10,use_of_appropriate_antibiotic_score,int,Use of appropriate antibiotic Score [%]
safety,11,appropriate_discontinuation_of_antibiotic_denominator,int,Appropriate discontinuation of antibiotic Denominator
safety,12,appropriate_discontinuation_of_antibiotic_score,int,Appropriate discontinuation of antibiotic Score [%]
safety,13,urinary_catheter_removed_denominator,int,Urinary catheter removed Denominator
safety,14,urinary_catheter_removed_score,int,Urinary catheter removed Score [%]
safety,15,blood_clot_prevention_denominator,int,Blood-clot prevention Denominator
safety,16,blood_clot_prevention_score,int,Blood-clot prevention Score [%]
safety,17,beta_blockers_continued_denominator,int,Beta-blockers continued Denominator
safety,18,beta_blockers_continued_score,int,Beta-blockers continued Score [%]
safety,19,unplanned_surgical_wound_reopening_denominator,str,Unplanned Surgical Wound Reopening Denominator
safety,20,unplanned_surgical_wound_reopening_score,float,Unplanned Surgical Wound Reopening Score [%]
safety,21,unplanned_surgical_wound_reopening_rating,str,Unplanned Surgical Wound Reopening Rating
safety,22,death_after_serious_treatable_complication_denominator,str,Death after Serious Treatable Complication Denominator
safety,23,death_after_serious_treatable_complication_score,float,Death after Serious Treatable Complication Score [%]
safety,24,death_after_serious_treatable_complication_rating,str,Death after Serious Treatable Complication Rating
safety,25,accidental_lung_puncture_denominator,str,Accidental Lung Puncture Denominator
safety,26,accidental_lung_puncture_score,float,Accidental Lung Puncture Score [%]
safety,27,accidental_lung_puncture_rating,str,Accidental Lung Puncture Rating
