sequence_id,name,dest_table_name,time,grain,segment,url
36,2011-5-sequence,table_sequence,2011,5,,http://www2.census.gov/acs2011_5yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
37,2011-5-shell,table_shells,2011,5,,http://www2.census.gov/acs2011_5yr/summaryfile/ACS2011_5-Year_TableShells.xls
38,2011-gs,geofile_schema,2011,,2011,gs://1lKkKVBu0sHSwyuyuGRPMfmNqG8FIjVw2RYMLYgr2GX4
39,2011_1_column_meta,column_meta,2011,1,,s3://public.source.civicknowledge.com/censusreporter/acs2011_1yr/census_column_metadata.csv
40,2011_1_table_meta,table_meta,2011,1,,s3://public.source.civicknowledge.com/censusreporter/acs2011_1yr/census_table_metadata.csv
41,2011_3_column_meta,column_meta,2011,3,,s3://public.source.civicknowledge.com/censusreporter/acs2011_3yr/census_column_metadata.csv
42,2011_3_table_meta,table_meta,2011,3,,s3://public.source.civicknowledge.com/censusreporter/acs2011_3yr/census_table_metadata.csv
43,2011_5_column_meta,column_meta,2011,5,,s3://public.source.civicknowledge.com/censusreporter/acs2011_5yr/census_column_metadata.csv
44,2011_5_table_meta,table_meta,2011,5,,s3://public.source.civicknowledge.com/censusreporter/acs2011_5yr/census_table_metadata.csv
45,2012-1-sequence,table_sequence,2012,1,,http://www2.census.gov/acs2012_1yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
46,2012-1-shell,table_shells,2012,1,,http://www2.census.gov/acs2012_1yr/summaryfile/ACS2012_1-Year_TableShells.xls
47,2012-3-sequence,table_sequence,2012,3,,http://www2.census.gov/acs2012_3yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
48,2012-3-shell,table_shells,2012,3,,http://www2.census.gov/acs2012_3yr/summaryfile/ACS2012_3-Year_TableShells.xls
49,2012-5-sequence,table_sequence,2012,5,,http://www2.census.gov/acs2012_5yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
50,2012-5-shell,table_shells,2012,5,,http://www2.census.gov/acs2012_5yr/summaryfile/ACS2012_5-Year_TableShells.xls
51,2012-gs,geofile_schema,2012,,2012,gs://1lKkKVBu0sHSwyuyuGRPMfmNqG8FIjVw2RYMLYgr2GX4
52,2012_1_column_meta,column_meta,2012,1,,s3://public.source.civicknowledge.com/censusreporter/acs2012_1yr/census_column_metadata.csv
53,2012_1_table_meta,table_meta,2012,1,,s3://public.source.civicknowledge.com/censusreporter/acs2012_1yr/census_table_metadata.csv
54,2012_3_column_meta,column_meta,2012,3,,s3://public.source.civicknowledge.com/censusreporter/acs2012_3yr/census_column_metadata.csv
55,2012_3_table_meta,table_meta,2012,3,,s3://public.source.civicknowledge.com/censusreporter/acs2012_3yr/census_table_metadata.csv
56,2012_5_column_meta,column_meta,2012,5,,s3://public.source.civicknowledge.com/censusreporter/acs2012_5yr/census_column_metadata.csv
57,2012_5_table_meta,table_meta,2012,5,,s3://public.source.civicknowledge.com/censusreporter/acs2012_5yr/census_table_metadata.csv
58,2013-1-sequence,table_sequence,2013,1,,http://www2.census.gov/acs2013_1yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
59,2013-1-shell,table_shells,2013,1,,http://www2.census.gov/acs2013_1yr/summaryfile/ACS2013_TableShells.xlsx
60,2013-3-sequence,table_sequence,2013,3,,http://www2.census.gov/acs2013_3yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
61,2013-3-shell,table_shells,2013,3,,http://www2.census.gov/acs2013_3yr/summaryfile/ACS2013_TableShells.xlsx
62,2013-5-sequence,table_sequence,2013,5,,http://www2.census.gov/acs2013_5yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
63,2013-5-shell,table_shells,2013,5,,http://www2.census.gov/acs2013_5yr/summaryfile/ACS2013_TableShells.xls
64,2013-gs,geofile_schema,2013,,2013,gs://1lKkKVBu0sHSwyuyuGRPMfmNqG8FIjVw2RYMLYgr2GX4
65,2013_1_column_meta,column_meta,2013,1,,s3://public.source.civicknowledge.com/censusreporter/acs2013_1yr/census_column_metadata.csv
66,2013_1_table_meta,table_meta,2013,1,,s3://public.source.civicknowledge.com/censusreporter/acs2013_1yr/census_table_metadata.csv
67,2013_3_column_meta,column_meta,2013,3,,s3://public.source.civicknowledge.com/censusreporter/acs2013_3yr/census_column_metadata.csv
68,2013_3_table_meta,table_meta,2013,3,,s3://public.source.civicknowledge.com/censusreporter/acs2013_3yr/census_table_metadata.csv
69,2013_5_column_meta,column_meta,2013,5,,s3://public.source.civicknowledge.com/censusreporter/acs2013_5yr/census_column_metadata.csv
70,2013_5_table_meta,table_meta,2013,5,,s3://public.source.civicknowledge.com/censusreporter/acs2013_5yr/census_table_metadata.csv
71,sumlevels,sumlevels,,,main,gs://1gdaIim_V-zcBqQa8aaKaft-DMzdewb5FDF1-jztZvw4
