"table","sequence_id","column","datatype","transform","description"
"brfss",37,"asthma3","int",,"(Ever told) you had asthma?"
"brfss",38,"asthnow","int",,"Do you still have asthma?"
"brfss",39,"chcscncr","int",,"(Ever told) you had skin cancer?"
"brfss",40,"chcocncr","int",,"(Ever told) you had any other types of cancer?"
"brfss",41,"chccopd1","int",,"(Ever told) you have Chronic Obstructive Pulmonary Disease or COPD, emphysema or chronic bronchitis?"
"brfss",42,"havarth3","int",,"(Ever told) you have some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia? (Arthritis diagnoses"
"brfss",43,"addepev2","int",,"(Ever told) you that you have a depressive disorder, including depression, major depression, dysthymia, or minor"
"brfss",44,"chckidny","int",,"(Ever told) you have kidney disease? Do NOT include kidney stones, bladder infection or incontinence.(Incontinence"
"brfss",45,"diabete3","int",,"(Ever told) you have diabetes (If ""Yes"" and respondent is female, ask ""Was this only when you were pregnant?"". If"
"brfss",46,"veteran3","int",,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National"
"brfss",47,"marital","int",,"Are you: (marital status)"
"brfss",48,"children","int",,"How many children less than 18 years of age live in your household?"
"brfss",49,"educa","int",,"What is the highest grade or year of school you completed?"
"brfss",50,"employ1","int",,"Are you currently…?"
"brfss",51,"income2","int",,"Is your annual household income from all sources: (If respondent refuses at any income level, code ""Refused."")"
"brfss",52,"weight2","int",,"About how much do you weigh without shoes? (If respondent answers in metrics, put a 9 in the first column)[Round"
"brfss",53,"height3","int",,"About how tall are you without shoes? (If respondent answers in metrics, put a 9 in the first column)[Round"
"brfss",54,"numhhol2","int",,"Do you have more than one telephone number in your household? Do not include cell phones or numbers that are"
"brfss",55,"numphon2","int",,"How many of these telephone numbers are residential numbers?"
"brfss",56,"cpdemo1","int",,"Do you have a cell phone for personal use? Please include cell phones used for both business and personal use"
"brfss",57,"cpdemo4","int",,"Thinking about all the phone calls that you receive on your landline or cell phone, what percent, between 0 and 100,"
"brfss",58,"internet","int",,"Have you used the internet in the past 30 days?"
"brfss",59,"renthom1","int",,"Do you own or rent your home? (Home is defined as the place where you live most of the time/the majority of the"
"brfss",60,"sex","int",,"Indicate sex of respondent."
"brfss",61,"pregnant","int",,"To your knowledge, are you now pregnant?"
"brfss",62,"qlactlm2","int",,"Are you limited in any way in any activities because of physical, mental, or emotional problems?"
"brfss",63,"useequip","int",,"Do you now have any health problem that requires you to use special equipment, such as a cane, a wheelchair, a"
"brfss",64,"blind","int",,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?"
"brfss",65,"decide","int",,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or"
"brfss",66,"diffwalk","int",,"Do you have serious difficulty walking or climbing stairs?"
"brfss",67,"diffdres","int",,"Do you have difficulty dressing or bathing?"
"brfss",68,"diffalon","int",,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a"
"brfss",69,"smoke100","int",,"Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes]"
"brfss",70,"smokday2","int",,"Do you now smoke cigarettes every day, some days, or not at all?"
"brfss",71,"stopsmk2","int",,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit"
"brfss",72,"lastsmk2","int",,"How long has it been since you last smoked a cigarette, even one or two puffs?"
"brfss",73,"usenow3","int",,"Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all? (Snus (Swedish for snuff)"
"brfss",74,"alcday5","int",,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic"
"brfss",75,"avedrnk2","int",,"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the"
"brfss",76,"drnk3ge5","int",,"Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks"
"brfss",77,"maxdrnks","int",,"During the past 30 days, what is the largest number of drinks you had on any occasion?"
"brfss",78,"fruitju1","int",,"During the past month, how many times per day, week or month did you drink 100 percent PURE fruit juices? Do not"
"brfss",79,"fruit1","int",,"During the past month, not counting juice, how many times per day, week, or month did you eat fruit? Count fresh,"
"brfss",80,"fvbeans","int",,"During the past month, how many times per day, week, or month did you eat cooked or canned beans, such as"
"brfss",81,"fvgreen","int",,"During the past month, how many times per day, week, or month did you eat dark green vegetables for example"
"brfss",82,"fvorang","int",,"During the past month, how many times per day, week, or month did you eat orange-colored vegetables such as"
"brfss",83,"vegetab1","int",,"Not counting what you just told me about, during the past month, about how many times per day, week, or month did"
"brfss",84,"exerany2","int",,"During the past month, other than your regular job, did you participate in any physical activities or exercises such as"
"brfss",85,"exract11","int",,"What type of physical activity or exercise did you spend the most time doing during the past month?"
"brfss",86,"exeroft1","int",,"How many times per week or per month did you take part in this activity during the past month?"
"brfss",87,"exerhmm1","int",,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?"
"brfss",88,"exract21","int",,"What other type of physical activity gave you the next most exercise during the past month?"
"brfss",89,"exeroft2","int",,"How many times per week or per month did you take part in this activity during the past month?"
"brfss",90,"exerhmm2","int",,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?"
"brfss",91,"strength","int",,"During the past month, how many times per week or per month did you do physical activities or exercises to"
"brfss",92,"lmtjoin3","int",,"Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?"
"brfss",93,"arthdis2","int",,"Do arthritis or joint symptoms now affect whether you work, the type of work you do or the amount of work you do?"
"brfss",94,"arthsocl","int",,"During the past 30 days, to what extent has your arthritis or joint symptoms interfered with your normal social"
"brfss",95,"joinpain","int",,"Please think about the past 30 days, keeping in mind all of your joint pain or aching and whether or not you have"
"brfss",96,"seatbelt","int",,"How often do you use seat belts when you drive or ride in a car? Would you say—"
"brfss",97,"flushot6","int",,"During the past 12 months, have you had either a flu shot or a flu vaccine that was sprayed in your nose? (A new"
"brfss",98,"flshtmy2","int",,"During what month and year did you receive your most recent flu shot injected into your arm or flu vaccine that was"
"brfss",99,"tetanus","int",,"Since 2005, have you had a tetanus shot? (If yes, ask: “Was this Tdap, the tetanus shot that also has pertussis or"
"brfss",100,"pneuvac3","int",,"A pneumonia shot or pneumococcal vaccine is usually given only once or twice in a person´s lifetime and is different"
"brfss",101,"hivtst6","int",,"Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include"
"brfss",102,"hivtstd3","int",,"Not including blood donations, in what month and year was your last HIV test? (If response is before January 1985,"
"brfss",103,"whrtst10","int",,"Where did you have your last HIV test — at a private doctor or HMO office, at a counseling and testing site, in the"
"brfss",104,"pdiabtst","int",,"Have you had a test for high blood sugar or diabetes within the past three years?"
"brfss",105,"prediab1","int",,"Have you ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?"
"brfss",106,"diabage2","int",,"How old were you when you were told you have diabetes?"
"brfss",107,"insulin","int",,"Are you now taking insulin?"
"brfss",108,"bldsugar","int",,"About how often do you check your blood for glucose or sugar? Include times when checked by a family member or"
"brfss",109,"feetchk2","int",,"About how often do you check your feet for any sores or irritations? Include times when checked by a family"
"brfss",110,"doctdiab","int",,"About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your"
"brfss",111,"chkhemo3","int",,"A test for “A one C” measures the average level of blood sugar over the past three months. About how many times"
"brfss",112,"feetchk","int",,"About how many times in the past 12 months has a health professional checked your feet for any sores or irritations?"
"brfss",113,"eyeexam","int",,"When was the last time you had an eye exam in which the pupils were dilated? This would have made you"
"brfss",114,"diabeye","int",,"Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?"
"brfss",115,"diabedu","int",,"Have you ever taken a course or class in how to manage your diabetes yourself?"
"brfss",116,"painact2","int",,"During the past 30 days, for about how many days did pain make it hard for you to do your usual activities, such as"
"brfss",117,"qlmentl2","int",,"During the past 30 days, for about how may days have you felt sad, blue, or depressed?"
"brfss",118,"qlstres2","int",,"During the past 30 days, for about how many days have you felt worried, tense, or anxious?"
"brfss",119,"qlhlth2","int",,"During the past 30 days, for about how many days have you felt very healthy and full of energy?"
"brfss",120,"medicare","int",,"Do you have Medicare? (Medicare is a coverage plan for people 65 or over and for certain disabled people.)"
"brfss",121,"hlthcvrg","int","^illegal_to_none","Are you CURRENTLY covered by any of the following types of health insurance or health coverage plans? [Select"
"brfss",122,"delaymed","int",,"Have you delayed getting needed medical care for any of the following reasons in the past 12 months? Select the"
"brfss",123,"dlyother","str",,"Delayed Getting Medical Care Other Response"
"brfss",124,"nocov121","int",,"In the PAST 12 MONTHS was there any time when you did NOT have ANY health insurance or coverage?"
"brfss",125,"lstcovrg","int",,"About how long has it been since you last had health care coverage?"
"brfss",126,"drvisits","int",,"How many times have you been to a doctor, nurse, or other health professional in the past 12 months?"
"brfss",127,"medscost","int",,"Was there a time in the past 12 months when you did not take your medication as prescribed because of cost? Do"
"brfss",128,"carercvd","int",,"In general, how satisfied are you with the health care you received? Would you say—"
"brfss",129,"medbills","int",,"Do you currently have any medical bills that are being paid off over time? (This could include medical bills being"
"brfss",130,"ssbsugar","int",,"About how often do you drink regular soda or pop that contains sugar? Do not include diet soda or diet pop.(You can"
"brfss",131,"ssbfrut2","int",,"During the past 30 days, how often did you drink sugar-sweetened fruit drinks (such as Kool-aid and lemonade),"
"brfss",132,"wtchsalt","int",,"Are you currently watching or reducing your sodium or salt intake?"
"brfss",133,"longwtch","int",,"How many days, weeks, months, or years have you been watching or reducing your sodium or salt intake?"
"brfss",134,"dradvise","int",,"Has a doctor or other health professional ever advised you to reduce sodium or salt intake?"
"brfss",135,"asthmage","int",,"How old were you when you were first told by a doctor, nurse or other health professional that you had asthma?"
"brfss",136,"asattack","int",,"During the past 12 months, have you had an episode of asthma or an asthma attack?"
"brfss",137,"aservist","int",,"During the past 12 months, how many times did you visit an emergency room or urgent care center because of your"
"brfss",138,"asdrvist","int",,"During the past 12 months, how many times did you see a doctor, nurse or other health professional for urgent"
"brfss",139,"asrchkup","int",,"During the past 12 months, how many times did you see a doctor, nurse, or other health professional for a routine"
"brfss",140,"asactlim","int",,"During the past 12 months, how many days were you unable to work or carry out your usual activities because of"
"brfss",141,"asymptom","int",,"Symptoms of asthma include cough, wheezing, shortness of breath, chest tightness and phlegm production when"
"brfss",142,"asnoslep","int",,"During the past 30 days, how many days did symptoms of asthma make it difficult for you to stay asleep? Would you"
"brfss",143,"asthmed3","int",,"During the past 30 days, how many days did you take a prescription asthma medication to PREVENT an asthma"
"brfss",144,"asinhalr","int",,"During the past 30 days, how often did you use a prescription asthma inhaler DURING AN ASTHMA ATTACK to"
"brfss",145,"harehab1","int",,"Following your heart attack, did you go to any kind of outpatient rehabilitation? This is sometimes called “rehab.”"
"brfss",146,"strehab1","int",,"Following your stroke did you go to any kind of outpatient rehabilitation? This is sometimes called “rehab.”"
"brfss",147,"cvdasprn","int",,"Do you take aspirin daily or every other day?"
"brfss",148,"aspunsaf","int",,"Do you have a health problem or condition that makes taking aspirin unsafe for you? (If ""Yes,"" ask ""Is this a"
"brfss",149,"rlivpain","int",,"Do you take aspirin to relieve pain?"
"brfss",150,"rduchart","int",,"Do you take aspirin to reduce the chance of a heart attack?"
"brfss",151,"rducstrk","int",,"Do you take aspirin to reduce the chance of a stroke?"
"brfss",152,"arttoday","int",,"Thinking about your arthritis or joint symptoms, which of the following best describes you TODAY?"
"brfss",153,"arthwgt","int",,"Has a doctor or other health professional EVER suggested losing weight to help your arthritis or joint symptoms?"
"brfss",154,"arthexer","int",,"Has a doctor or other health professional EVER suggested physical activity or exercise to help your arthritis or joint"
"brfss",155,"arthedu","int",,"Have you EVER taken an educational course or class to teach you how to manage problems related to your arthritis"
"brfss",156,"imfvplac","int",,"At what kind of place did you get your last flu shot/vaccine?"
"brfss",157,"hpvadvc2","int",,"Have you ever had the HPV vaccination? (Human Papilloma Virus (Human Pap•uh•loh•muh Virus), Gardasil"
"brfss",158,"hpvadsht","int",,"How many HPV shots did you receive?"
"brfss",159,"hadmam","int",,"A mammogram is an x-ray of each breast to look for breast cancer. Have you ever had a mammogram?"
"brfss",160,"howlong","int",,"How long has it been since you had your last mammogram?"
"brfss",161,"profexam","int",,"A clinical breast exam is when a doctor, nurse, or other health professional feels the breast for lumps. Have you ever"
"brfss",162,"lengexam","int",,"How long has it been since your last breast exam?"
"brfss",163,"hadpap2","int",,"A Pap test is a test for cancer of the cervix. Have you ever had a Pap test?"
"brfss",164,"lastpap2","int",,"How long has it been since you had your last Pap test?"
"brfss",165,"hadhyst2","int",,"Have you had a hysterectomy? (A hysterectomy is an operation to remove the uterus (womb).)"
"brfss",166,"bldstool","int",,"A blood stool test is a test that may use a special kit at home to determine whether the stool contains blood. Have"
"brfss",167,"lstblds3","int",,"How long has it been since you had your last blood stool test using a home kit?"
"brfss",168,"hadsigm3","int",,"Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to view the colon for signs of"
"brfss",169,"hadsgco1","int",,"For a SIGMOIDOSCOPY, a flexible tube is inserted into the rectum to look for problems. A COLONOSCOPY is"
"brfss",170,"lastsig3","int",,"How long has it been since you had your last sigmoidoscopy or colonoscopy?"
"brfss",171,"pcpsaad2","int",,"Has a doctor, nurse, or other health professional EVER talked with you about the advantages of the PSA test?"
"brfss",172,"pcpsadi1","int",,"Has a doctor, nurse, or other health professional EVER talked with you about the disadvantages of the PSA test?"
"brfss",173,"pcpsare1","int",,"Has a doctor, nurse, or other health professional EVER recommended that you have a PSA test?"
"brfss",174,"psatest1","int",,
"brfss",175,"psatime","int",,"How long has it been since you had your last PSA test?"
"brfss",176,"pcpsars1","int",,"What was the MAIN reason you had this PSA test – was it …?"
"brfss",177,"pcpsade1","int",,"Which of the following best describes the decision to have the PSA test done?"
"brfss",178,"pcdmdecn","int",,"Who made the decision with you? (Mark all that apply)"
"brfss",179,"rrclass2","int",,"How do other people usually classify you in this country? Would you say White, Black or African American, Hispanic"
"brfss",180,"rrcognt2","int",,"How often do you think about your race? Would you say never, once a year, once a month, once a week, once a"
"brfss",181,"rratwrk2","int",,"Within the past 12 months at work, do you feel you were treated worse than, the same as, or better than people of"
"brfss",182,"rrhcare3","int",,"Within the past 12 months when seeking health care, do you feel your experiences were worse than, the same as, or"
"brfss",183,"rrphysm2","int",,"Within the past 30 days, have you experienced any physical symptoms, for example, a headache, an upset stomach,"
"brfss",184,"rremtsm2","int",,"Within the past 30 days, have you felt emotionally upset, for example angry, sad, or frustrated, as a result of how you"
"brfss",185,"misnervs","int",,"About how often during the past 30 days did you feel nervous- would you say all of the time, most of the time, some"
"brfss",186,"mishopls","int",,"During the past 30 days, about how often did you feel hopeless- all of the time, most of the time, some of the time, a"
"brfss",187,"misrstls","int",,"During the past 30 days, about how often did you feel restless or fidgety? (If necessary: all, most, some, a little, or"
"brfss",188,"misdeprd","int",,"During the past 30 days, about how often did you feel so depressed that nothing could cheer you up? (If necessary:"
"brfss",189,"miseffrt","int",,"During the past 30 days, about how often did you feel that everything was an effort? (If necessary: all, most, some,"
"brfss",190,"miswtles","int",,"During the past 30 days, about how often did you feel worthless? (If necessary: all, most, some, a little, or none of"
"brfss",191,"misnowrk","int",,"During the past 30 days, for about how many days did a mental health condition or emotional problem keep you from"
"brfss",192,"mistmnt","int",,"Are you now taking medicine or receiving treatment from a doctor or other health professional for any type of mental"
"brfss",193,"mistrhlp","int",,"Treatment can help people with mental illness lead normal lives. Do you agree slightly or strongly, or disagree"
"brfss",194,"misphlpf","int",,"People are generally caring and sympathetic to people with mental illness. Do you agree slightly or strongly or"
"brfss",195,"scntmony","int",,"How often in the past 12 months would you say you were worried or stressed about having enough money to pay"
"brfss",196,"scntmeal","int",,"How often in the past 12 months would you say you were worried or stressed about having enough money to buy"
"brfss",197,"scntpaid","int",,"At your main job or business, how are you generally paid for the work you do. Are you:"
"brfss",198,"scntwrk1","int",,"About how many hours do you work per week on all of your jobs and businesses combined?"
"brfss",199,"scntlpad","int",,"Thinking about the last time you worked, at your main job or business, how were you generally paid for the work you"
"brfss",200,"scntlwk1","int",,"Thinking about the last time you worked, about how many hours did you work per week at all of your jobs and"
"brfss",201,"scntvot1","int",,
"brfss",202,"rcsgendr","int",,"Is the child a boy or a girl?"
"brfss",203,"rcsrltn2","int",,"How are you related to the child?"
"brfss",204,"casthdx2","int",,"Has a doctor, nurse or other health professional EVER said that the child has asthma?"
"brfss",205,"casthno2","int",,"Does the child still have asthma?"
"brfss",206,"emtsuprt","int",,"How often do you get the social and emotional support you need?"
"brfss",207,"lsatisfy","int",,"In general, how satisfied are you with your life?"
"brfss",208,"ctelnum1","int",,"Is this (phone number) ?"
"brfss",209,"cellfon2","int",,"Is this a cellular telephone?"
"brfss",210,"cadult","int",,"Are you 18 years of age or older?"
"brfss",211,"pvtresd2","int",,"Do you live in a private residence, that is, not in a dormitory or other type of group living situation?"
"brfss",212,"cclghous","int",,"Do you live in college housing?"
"brfss",213,"cstate","int",,"Are you a resident of [STATE]?"
"brfss",214,"landline","int",,"Do you also have a landline telephone in your home that is used to make and receive calls?"
"brfss",215,"pctcell","int",,"Thinking about all the phone calls that you receive on your landline or cell phone, what percent, between 0 and 100,"
"brfss",216,"qstver","int",,"Questionnaire Version Identifier"
"brfss",217,"qstlang","int",,"Language identifier"
"brfss",218,"mscode","int",,"Metropolitan Status Code"
"brfss",219,"_ststr","int",,"Sample Design Stratification Variable (A five digit number that combines the values for _STATE (first two"
"brfss",220,"_strwt","int",,"Stratum weight (Number of records in a stratum (NRECSTR) divided by the number of records selected"
"brfss",221,"_rawrake","int",,"Raw weighting factor used in raking (Number of adults in the household (NUMADULT, maximum of 5) divided by"
"brfss",222,"_wt2rake","int",,"Design weight used in raking (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).)"
"brfss",223,"_imprace","int",,"Imputed race/ethnicity value (This value is the reported race/ethnicity or an imputed race/ethnicity, if the respondent"
"brfss",224,"_impnph","int",,"Imputed number of phones used in weighting"
"brfss",225,"_impeduc","int",,"Imputed Education Level (This value is the reported education level or an imputed education level, if the"
"brfss",226,"_impmrtl","int",,"Imputed Marital Status (This value is the reported marital status or an imputed marital status, if the respondent"
"brfss",227,"_imphome","int",,"Imputed Own or Rent Home (This value is the reported tenure (rent or own home) or an imputed tenure, if the"
"brfss",228,"_chispnc","int",,"Child Hispanic, Latino/a, or Spanish origin calculated variable"
"brfss",229,"_crace1","int",,"Child multiracial race categorization"
"brfss",230,"_impcage","int",,"Imputed Child Age"
"brfss",231,"_impcrac","int",,"Imputed Child Race/Ethnicity"
"brfss",232,"_impcsex","int",,"Imputed Child Gender"
"brfss",233,"_cllcpwt","int",,"Final child weight: Land-line and Cell-Phone data (Raking derived weight)"
"brfss",234,"_dualuse","int",,"Dual Phone Use Categories"
"brfss",235,"_dualcor","int",,"Dual phone use correction factor"
"brfss",236,"_llcpwt2","int",,"Truncated design weight used in adult combined land line and cell phone raking"
"brfss",237,"_llcpwt","int",,"Final weight assigned to each respondent: Land-line and cell-phone data (Raking derived weight)"
"brfss",238,"_rfhlth","int",,"Adults with good or better health"
"brfss",239,"_hcvu651","int",,"Respondents aged 18-64 who have any form of health care coverage"
"brfss",240,"_rfhype5","int",,"Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional"
"brfss",241,"_cholchk","int",,"Cholesterol check within past five years"
"brfss",242,"_rfchol","int",,"Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health professional"
"brfss",243,"_ltasth1","int",,"Adults who have ever been told they have asthma"
"brfss",244,"_casthm1","int",,"Adults who have been told they currently have asthma"
"brfss",245,"_asthms1","int",,"Computed asthma status"
"brfss",246,"_drdxar1","int",,"Preferred race category"
"brfss",247,"_prace1","int",,"Calculated multiracial race categorization"
"brfss",248,"_mrace1","int",,
"brfss",249,"_hispanc","int",,"Race/ethnicity categories"
"brfss",250,"_race","int",,
"brfss",251,"_raceg21","int",,"White non-Hispanic race group"
"brfss",252,"_racegr3","int",,"Five-level race/ethnicity category"
"brfss",253,"_race_g1","int",,"Fourteen-level age category"
"brfss",254,"_ageg5yr","int",,
"brfss",255,"_age65yr","int",,"Two-level age category"
"brfss",256,"_age_g","int",,"Six-level imputed age category"
"brfss",257,"htin4","int",,"Reported height in inches"
"brfss",258,"htm4","int",,"Reported height in meters"
"brfss",259,"wtkg3","int",,"Reported weight in kilograms"
"brfss",260,"_bmi5","int",,"Body Mass Index (BMI)"
"brfss",261,"_bmi5cat","int",,"Four-categories of Body Mass Index (BMI)"
"brfss",262,"_rfbmi5","int",,"Adults who have a body mass index greater than 25.00 (Overweight or Obese)"
"brfss",263,"_chldcnt","int",,"Number of children in household"
"brfss",264,"_educag","int",,"Level of education completed"
"brfss",265,"_incomg","int",,"Income categories"
"brfss",266,"_smoker3","int",,"Four-level smoker status: Everyday smoker, Someday smoker, Former smoker, Non-smoker"
"brfss",267,"_rfsmok3","int",,"Adults who are current smokers"
"brfss",268,"drnkany5","int",,"Adults who reported having had at least one drink of alcohol in the past 30 days."
"brfss",269,"drocdy3","int",,"Drink-occasions-per-day"
"brfss",270,"_rfbing5","int",,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one"
"brfss",271,"_drnkdy4","int",,"Calculated total number of alcoholic beverages consumed per day"
"brfss",272,"_drnkmo4","int",,"Calculated total number of alcoholic beverages consumed per month"
"brfss",273,"_rfdrhv4","int",,"Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per"
"brfss",274,"_rfdrmn4","int",,"Adult Men who are Heavy drinkers (having more than two drinks per day)"
"brfss",275,"_rfdrwm4","int",,"Adult Women who are Heavy drinkers (having more than one drink per day)"
"brfss",276,"ftjuda1","int",,"Fruit juice intake in times per day"
"brfss",277,"frutda1","int",,"Fruit intake in times per day"
"brfss",278,"beanday","int",,"Bean intake in times per day"
"brfss",279,"grenday","int",,"Dark green vegetable intake in times per day"
"brfss",280,"orngday","int",,"Orange-colored vegetable intake in times per day"
"brfss",281,"vegeda1","int",,"Vegetable intake in times per day"
"brfss",282,"_misfrtn","int",,"The number of missing fruit responses"
"brfss",283,"_misvegn","int",,"The number of missing vegetable responses"
"brfss",284,"_frtresp","int",,"Missing any fruit responses"
"brfss",285,"_vegresp","int",,"Missing any vegetable responses"
"brfss",286,"_frutsum","int",,"Total fruits consumed per day"
"brfss",287,"_vegesum","int",,"Total vegetables consumed per day"
"brfss",288,"_frtlt1","int",,"Consume Fruit 1 or more times per day"
"brfss",289,"_veglt1","int",,"Consume Vegetables 1 or more times per day"
"brfss",290,"_frt16","int",,"Reported consuming Fruit >16 per day"
"brfss",291,"_veg23","int",,"Reported consuming Vegetables >23 per day"
"brfss",292,"_fruitex","int",,"Fruit Exclusion from analyses"
"brfss",293,"_vegetex","int",,"Vegetable Exclusion from analyses"
"brfss",294,"_totinda","int",,"Adults who reported doing physical activity or exercise during the past 30 days other than their regular job"
"brfss",295,"metvl11","int",,"Activity MET Value for First Activity"
"brfss",296,"metvl21","int",,"Activity MET Value for Second Activity"
"brfss",297,"maxvo2","int",,"Estimated Age-Gender Specific Maximum Oxygen Consumption"
"brfss",298,"fc60","int",,"Estimated Functional Capacity"
"brfss",299,"actin11","int",,"Estimated Activity Intensity for First Activity"
"brfss",300,"actin21","int",,"Estimated Activity Intensity for Second Activity"
"brfss",301,"padur1","int",,"Minutes of First Activity"
"brfss",302,"padur2","int",,"Minutes of Second Activity"
"brfss",303,"pafreq1","int",,"Physical Activity Frequency per Week for First Activity"
"brfss",304,"pafreq2","int",,"Physical Activity Frequency per Week for Second Activity"
"brfss",305,"_minac11","int",,"Minutes of Physical Activity per week for First Activity"
"brfss",306,"_minac21","int",,"Minutes of Physical Activity per week for Second Activity"
"brfss",307,"strfreq","int",,"Strength Activity Frequency per Week"
"brfss",308,"pamiss1","int",,"Missing Physical Activity Data"
"brfss",309,"pamin11","int",,"Minutes of Physical Activity per week for First Activity"
"brfss",310,"pamin21","int",,"Minutes of Physical Activity per week for Second Activity"
"brfss",311,"pa1min","int",,"Minutes of total Physical Activity per week"
"brfss",312,"pavig11","int",,"Minutes of Vigorous Physical Activity per week for First Activity"
"brfss",313,"pavig21","int",,"Minutes of Vigorous Physical Activity per week for Second Activity"
"brfss",314,"pa1vigm","int",,"Minutes of total Vigorous Physical Activity per week"
"brfss",315,"_pacat1","int",,"Physical Activity Categories"
"brfss",316,"_paindx1","int",,"Physical Activity Index"
"brfss",317,"_pa150r2","int",,"Adults that participated in 150 minutes (or vigorous equivalent minutes) of physical activity per week."
"brfss",318,"_pa300r2","int",,"Adults that participated in 300 minutes (or vigorous equivalent minutes) of physical activity per week."
"brfss",319,"_pa30021","int",,"Adults that participated in 300 minutes (or vigorous equivalent minutes) of physical activity per week (2-levels)."
"brfss",320,"_pastrng","int",,"Muscle Strengthening Recommendation"
"brfss",321,"_parec1","int",,"Aerobic and Strengthening Guideline"
"brfss",322,"_pastae1","int",,"Aerobic and Strengthening (2-level)"
"brfss",323,"_lmtact1","int",,"Limited usual activities"
"brfss",324,"_lmtwrk1","int",,"Limited work activities"
"brfss",325,"_lmtscl1","int",,"Limited social activities"
